Reaction,Dataset,Reference,Reference_in_eV,Stoichiometry,Label
3dCIPEA_Sc_IP,3dCIPEA,0.2333581958154692,6.35,"1,Sc_cation,-1,Sc",IP_EXTRA
3dCIPEA_Ti_IP,3dCIPEA,0.2436480060246553,6.63,"1,Ti_cation,-1,Ti",IP_EXTRA
3dCIPEA_V_IP,3dCIPEA,0.2340931822589825,6.37,"1,V_cation,-1,V",IP_EXTRA
3dCIPEA_V_EA,3dCIPEA,-0.01286226276148256,-0.35,"1,V_anion,-1,V",EA_EXTRA
3dCIPEA_Cr_IP,3dCIPEA,0.2381356076983056,6.48,"1,Cr_cation,-1,Cr",IP_EXTRA
3dCIPEA_Cr_EA,3dCIPEA,-0.02168210008364202,-0.59,"1,Cr_anion,-1,Cr",EA_EXTRA
3dCIPEA_Mn_IP,3dCIPEA,0.2682700518823504,7.3,"1,Mn_cation,-1,Mn",IP_EXTRA
3dCIPEA_Fe_IP,3dCIPEA,0.2851747400831561,7.76,"1,Fe_cation,-1,Fe",IP_EXTRA
3dCIPEA_Co_IP,3dCIPEA,0.2204959330539867,6,"1,Co_cation,-1,Co",IP_EXTRA
3dCIPEA_Co_EA,3dCIPEA,-0.05181654426768687,-1.41,"1,Co_anion,-1,Co",EA_EXTRA
3dCIPEA_Ni_IP,3dCIPEA,0.2693725315476204,7.33,"1,Ni_cation,-1,Ni",IP_EXTRA
3dCIPEA_Ni_EA,3dCIPEA,-0.04961158493714700,-1.35,"1,Ni_anion,-1,Ni",EA_EXTRA
3dCIPEA_Cu_IP,3dCIPEA,0.2785598620915365,7.58,"1,Cu_cation,-1,Cu",IP_EXTRA
3dCIPEA_Cu_EA,3dCIPEA,-0.04556915949782391,-1.24,"1,Cu_anion,-1,Cu",EA_EXTRA
3dCIPEA_Zn_IP,3dCIPEA,0.3395637369031395,9.24,"1,Zn_cation,-1,Zn",IP_EXTRA
3dCIPEA_ScO_IP,3dCIPEA,0.2285807839326328,6.22,"1,ScO_cation,-1,ScO",IP_EXTRA
3dCIPEA_ScH3_IP,3dCIPEA,0.3748430861917773,10.2,"1,ScH3_cation,-1,ScH3",IP_EXTRA
3dCIPEA_ScH3_EA,3dCIPEA,-0.01616970175729236,-0.44,"1,ScH3_anion,-1,ScH3",EA_EXTRA
3dCIPEA_ScF3_IP,3dCIPEA,0.5552822580742897,15.11,"1,ScF3_cation,-1,ScF3",IP_EXTRA
3dCIPEA_ScF3_EA,3dCIPEA,-0.009922316987429400,-0.27,"1,ScF3_anion,-1,ScF3",EA_EXTRA
3dCIPEA_ScCl3_IP,3dCIPEA,0.4362144542251369,11.87,"1,ScCl3_cation,-1,ScCl3",IP_EXTRA
3dCIPEA_ScCl3_EA,3dCIPEA,-0.05475649004174002,-1.49,"1,ScCl3_anion,-1,ScCl3",EA_EXTRA
3dCIPEA_TiO_IP,3dCIPEA,0.2509978704597881,6.83,"1,TiO_cation,-1,TiO",IP_EXTRA
3dCIPEA_TiF3_IP,3dCIPEA,0.3557334386604318,9.68,"1,TiF3_cation,-1,TiF3",IP_EXTRA
3dCIPEA_TiF3_EA,3dCIPEA,-0.005879891548106311,-0.16,"1,TiF3_anion,-1,TiF3",EA_EXTRA
