Reaction,Dataset,Reference,Stoichiometry
L14_1,L14,-0.03290787,"1,L14_C2C2PD,-1,L14_C2C2PD_monA,-1,L14_C2C2PD_monB"
L14_2,L14,-0.026039447,"1,L14_C3A,-1,L14_C3A_monA,-1,L14_C3A_monB"
L14_3,L14,-0.044764264,"1,L14_C3GC,-1,L14_C3GC_monA,-1,L14_C3GC_monB"
L14_4,L14,-0.017625232,"1,L14_CBH,-1,L14_CBH_monA,-1,L14_CBH_monB"
L14_5,L14,-0.021959828,"1,L14_GCGC,-1,L14_GCGC_monA,-1,L14_GCGC_monB"
L14_6,L14,-0.003521859,"1,L14_GGG,-1,L14_GGG_monA,-1,L14_GGG_monB"
L14_7,L14,-0.040095012,"1,L14_PHE,-1,L14_PHE_monA,-1,L14_PHE_monB"
L14_8,L14,-0.054421489,"1,L14_2a,-1,L14_2a_monA,-1,L14_2a_monB"
L14_9,L14,-0.03510704,"1,L14_2b,-1,L14_2b_monA,-1,L14_2b_monB"
L14_10,L14,-0.052572911,"1,L14_3b,-1,L14_3b_monA,-1,L14_3b_monB"
L14_11,L14,-0.058230197,"1,L14_S8-1,-1,L14_S8-1_monA,-1,L14_S8-1_monB"
L14_12,L14,-0.049066988,"1,L14_S8-2,-1,L14_S8-2_monA,-1,L14_S8-2_monB"
L14_13,L14,-0.030597148,"1,L14_Da1,-1,L14_Da1_monA,-1,L14_Da1_monB"
L14_14,L14,-0.032190749,"1,L14_Da2,-1,L14_Da2_monA,-1,L14_Da2_monB"
vL11_1,vL11,-0.060572791,"1,vL11_3a,-1,vL11_3a_monA,-1,vL11_3a_monB"
vL11_2,vL11,-0.061385527,"1,vL11_4a,-1,vL11_4a_monA,-1,vL11_4a_monB"
vL11_3,vL11,-0.068094589,"1,vL11_5a,-1,vL11_5a_monA,-1,vL11_5a_monB"
vL11_4,vL11,-0.047027178,"1,vL11_5b,-1,vL11_5b_monA,-1,vL11_5b_monB"
vL11_5,vL11,-0.065767931,"1,vL11_CiM-a,-1,vL11_CiM-a_monA,-1,vL11_CiM-a_monB"
vL11_6,vL11,-0.023489685,"1,vL11_CiM-c,-1,vL11_CiM-c_monA,-1,vL11_CiM-c_monB"
vL11_7,vL11,-0.11743249,"1,vL11_CiM-d,-1,vL11_CiM-d_monA,-1,vL11_CiM-d_monB"
vL11_8,vL11,-0.105783263,"1,vL11_CiM-e,-1,vL11_CiM-e_monA,-1,vL11_CiM-e_monB"
vL11_9,vL11,-0.061162423,"1,vL11_DNA-ellipticine,-1,vL11_DNA-ellipticine_monA,-1,vL11_DNA-ellipticine_monB"
vL11_10,vL11,-0.015218894,"1,vL11_C60-C60,-1,vL11_C60-C60_monA,-1,vL11_C60-C60_monB"
vL11_11,vL11,-0.064046842,"1,vL11_C60-CPPA,-1,vL11_C60-CPPA_monA,-1,vL11_C60-CPPA_monB"
