Reaction,Dataset,Reference,Stoichiometry
GDB_W1-F12_1,GDB_W1-F12,1.5611048545003063,"-1,dsgdb9nsd_000018,3,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_2,GDB_W1-F12,1.3843202872773532,"-1,dsgdb9nsd_000019,2,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_3,GDB_W1-F12,1.2001339696553999,"-1,dsgdb9nsd_000020,1,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_4,GDB_W1-F12,2.078436565366173,"-1,dsgdb9nsd_000021,4,dsgdb9nsd_c,10,dsgdb9nsd_h"
GDB_W1-F12_5,GDB_W1-F12,1.7684652437516697,"-1,dsgdb9nsd_000022,3,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_6,GDB_W1-F12,1.1111780559879312,"-1,dsgdb9nsd_000023,4,dsgdb9nsd_c,2,dsgdb9nsd_h"
GDB_W1-F12_7,GDB_W1-F12,0.9591353096327145,"-1,dsgdb9nsd_000024,3,dsgdb9nsd_c,1,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_8,GDB_W1-F12,0.7992709130827302,"-1,dsgdb9nsd_000025,2,dsgdb9nsd_c,2,dsgdb9nsd_n"
GDB_W1-F12_9,GDB_W1-F12,1.057471743664147,"-1,dsgdb9nsd_000026,3,dsgdb9nsd_c,2,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_10,GDB_W1-F12,0.9043725173235196,"-1,dsgdb9nsd_000027,2,dsgdb9nsd_c,1,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_11,GDB_W1-F12,1.6009178164279714,"-1,dsgdb9nsd_000029,4,dsgdb9nsd_c,6,dsgdb9nsd_h"
GDB_W1-F12_12,GDB_W1-F12,1.5934810158808712,"-1,dsgdb9nsd_000030,4,dsgdb9nsd_c,6,dsgdb9nsd_h"
GDB_W1-F12_13,GDB_W1-F12,1.4515653400523896,"-1,dsgdb9nsd_000031,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_14,GDB_W1-F12,1.2401418712693275,"-1,dsgdb9nsd_000032,2,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_15,GDB_W1-F12,1.2722958125786994,"-1,dsgdb9nsd_000033,3,dsgdb9nsd_c,4,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_16,GDB_W1-F12,1.1270320065835022,"-1,dsgdb9nsd_000034,2,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_17,GDB_W1-F12,1.5489728740048658,"-1,dsgdb9nsd_000035,3,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_18,GDB_W1-F12,1.3669095265611646,"-1,dsgdb9nsd_000036,2,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_19,GDB_W1-F12,1.2452358914110768,"-1,dsgdb9nsd_000037,2,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_20,GDB_W1-F12,1.2312031909276446,"-1,dsgdb9nsd_000038,2,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_21,GDB_W1-F12,2.076066266491836,"-1,dsgdb9nsd_000039,4,dsgdb9nsd_c,10,dsgdb9nsd_h"
GDB_W1-F12_22,GDB_W1-F12,1.7622724129488818,"-1,dsgdb9nsd_000040,3,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_23,GDB_W1-F12,1.7477628519360557,"-1,dsgdb9nsd_000041,3,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_24,GDB_W1-F12,1.4510222899247234,"-1,dsgdb9nsd_000042,2,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_25,GDB_W1-F12,1.8338131256484764,"-1,dsgdb9nsd_000043,4,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_26,GDB_W1-F12,1.5155796427211634,"-1,dsgdb9nsd_000044,3,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_27,GDB_W1-F12,1.6111692967098212,"-1,dsgdb9nsd_000045,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_28,GDB_W1-F12,1.5156690026468984,"-1,dsgdb9nsd_000046,3,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_29,GDB_W1-F12,1.8339000757301174,"-1,dsgdb9nsd_000047,4,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_30,GDB_W1-F12,1.5113815323994886,"-1,dsgdb9nsd_000048,3,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_31,GDB_W1-F12,1.7789978528567365,"-1,dsgdb9nsd_000049,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_32,GDB_W1-F12,1.7108667412682728,"-1,dsgdb9nsd_000050,4,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_33,GDB_W1-F12,1.5167288626609583,"-1,dsgdb9nsd_000051,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_34,GDB_W1-F12,1.3940482275752177,"-1,dsgdb9nsd_000053,3,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_35,GDB_W1-F12,2.5521644950445324,"-1,dsgdb9nsd_000054,5,dsgdb9nsd_c,12,dsgdb9nsd_h"
GDB_W1-F12_36,GDB_W1-F12,2.244279572208249,"-1,dsgdb9nsd_000055,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_37,GDB_W1-F12,1.540198493652684,"-1,dsgdb9nsd_000056,4,dsgdb9nsd_c,4,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_38,GDB_W1-F12,1.3893083373855828,"-1,dsgdb9nsd_000057,3,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_39,GDB_W1-F12,1.299104603673368,"-1,dsgdb9nsd_000058,2,dsgdb9nsd_c,3,dsgdb9nsd_h,3,dsgdb9nsd_n"
GDB_W1-F12_40,GDB_W1-F12,1.495592251903219,"-1,dsgdb9nsd_000060,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_41,GDB_W1-F12,1.4123916983526794,"-1,dsgdb9nsd_000061,2,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_42,GDB_W1-F12,1.311698474246937,"-1,dsgdb9nsd_000062,2,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,2,dsgdb9nsd_o"
GDB_W1-F12_43,GDB_W1-F12,2.0651088861107674,"-1,dsgdb9nsd_000063,5,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_44,GDB_W1-F12,1.9231930494879004,"-1,dsgdb9nsd_000064,4,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_45,GDB_W1-F12,1.717128371032327,"-1,dsgdb9nsd_000065,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_46,GDB_W1-F12,1.7502698626905253,"-1,dsgdb9nsd_000066,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_47,GDB_W1-F12,1.6054072370924484,"-1,dsgdb9nsd_000067,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_48,GDB_W1-F12,2.021037043145484,"-1,dsgdb9nsd_000068,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_49,GDB_W1-F12,1.707740020348339,"-1,dsgdb9nsd_000069,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_50,GDB_W1-F12,1.830111116203153,"-1,dsgdb9nsd_000070,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_51,GDB_W1-F12,1.7197104611313283,"-1,dsgdb9nsd_000071,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_52,GDB_W1-F12,2.0316168834099595,"-1,dsgdb9nsd_000072,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_53,GDB_W1-F12,1.8545103972226709,"-1,dsgdb9nsd_000073,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_54,GDB_W1-F12,1.6601291280271446,"-1,dsgdb9nsd_000075,2,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_55,GDB_W1-F12,1.8203902653600041,"-1,dsgdb9nsd_000076,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_56,GDB_W1-F12,1.7346332222801182,"-1,dsgdb9nsd_000077,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_57,GDB_W1-F12,1.5509658741932268,"-1,dsgdb9nsd_000078,2,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,2,dsgdb9nsd_o"
GDB_W1-F12_58,GDB_W1-F12,1.5424251537395186,"-1,dsgdb9nsd_000079,2,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,2,dsgdb9nsd_o"
GDB_W1-F12_59,GDB_W1-F12,1.5441897737903294,"-1,dsgdb9nsd_000080,2,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,2,dsgdb9nsd_o"
GDB_W1-F12_60,GDB_W1-F12,2.2347720631639634,"-1,dsgdb9nsd_000081,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_61,GDB_W1-F12,1.9266511901052203,"-1,dsgdb9nsd_000082,3,dsgdb9nsd_c,8,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_62,GDB_W1-F12,2.5476134450316574,"-1,dsgdb9nsd_000083,5,dsgdb9nsd_c,12,dsgdb9nsd_h"
GDB_W1-F12_63,GDB_W1-F12,2.23841017237884,"-1,dsgdb9nsd_000084,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
