Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Uncertainty_kcal_mol
H2X100_001_H2S_2_t_1H,H2X100,-0.002661314400859661,-1.67,"1,H2S_2_t_1H,-1,H2S_2_t_1H_mon1,-1,H2S_2_t_1H_mon2",0.01
H2X100_002_H2S_2_t_1C,H2X100,-0.002597570343354040,-1.63,"1,H2S_2_t_1C,-1,H2S_2_t_1C_mon1,-1,H2S_2_t_1C_mon2",0.01
H2X100_003_H2S_2_c_1H,H2X100,-0.002533826285848420,-1.59,"1,H2S_2_c_1H,-1,H2S_2_c_1H_mon1,-1,H2S_2_c_1H_mon2",0.01
H2X100_004_H2Se_2_t_1C,H2X100,-0.002629442372106851,-1.65,"1,H2Se_2_t_1C,-1,H2Se_2_t_1C_mon1,-1,H2Se_2_t_1C_mon2",0.01
H2X100_005_H2Se_2_2C_da_da,H2X100,-0.002406338170837179,-1.51,"1,H2Se_2_2C_da_da,-1,H2Se_2_2C_da_da_mon1,-1,H2Se_2_2C_da_da_mon2",0.01
H2X100_006_H2Se_2_t_1H,H2X100,-0.002374466142084368,-1.49,"1,H2Se_2_t_1H,-1,H2Se_2_t_1H_mon1,-1,H2Se_2_t_1H_mon2",0.01
H2X100_007_H2Se_2_c_1H,H2X100,-0.002358530127707963,-1.48,"1,H2Se_2_c_1H,-1,H2Se_2_c_1H_mon1,-1,H2Se_2_c_1H_mon2",0.01
H2X100_008_H2Te_2_t_1C,H2X100,-0.003266882947163057,-2.05,"1,H2Te_2_t_1C,-1,H2Te_2_t_1C_mon1,-1,H2Te_2_t_1C_mon2",0.03
H2X100_009_H2Te_2_c_1C,H2X100,-0.003235010918410247,-2.03,"1,H2Te_2_c_1C,-1,H2Te_2_c_1C_mon1,-1,H2Te_2_c_1C_mon2",0.03
H2X100_010_H2Te_2_2C_da_da_star,H2X100,-0.003139394832151816,-1.97,"1,H2Te_2_2C_da_da_star,-1,H2Te_2_2C_da_da_star_mon1,-1,H2Te_2_2C_da_da_star_mon2",0.05
H2X100_011_H2Te_2_vdW_star,H2X100,-0.002151361940814696,-1.35,"1,H2Te_2_vdW_star,-1,H2Te_2_vdW_star_mon1,-1,H2Te_2_vdW_star_mon2",0.05
H2X100_012_H2Te_2_t_1H_star,H2X100,-0.001912321725168619,-1.2,"1,H2Te_2_t_1H_star,-1,H2Te_2_t_1H_star_mon1,-1,H2Te_2_t_1H_star_mon2",0.03
H2X100_013_H2S_3_R_3H_ttc,H2X100,-0.002778178505755432,-1.743333333,"0.3333333333,H2S_3_R_3H_ttc,-0.3333333333,H2S_3_R_3H_ttc_mon1,-0.3333333333,H2S_3_R_3H_ttc_mon2,-0.3333333333,H2S_3_R_3H_ttc_mon3",0.01333333333
H2X100_014_H2S_3_R_3H_ccc,H2X100,-0.002714434448249811,-1.703333333,"0.3333333333,H2S_3_R_3H_ccc,-0.3333333333,H2S_3_R_3H_ccc_mon1,-0.3333333333,H2S_3_R_3H_ccc_mon2,-0.3333333333,H2S_3_R_3H_ccc_mon3",0.01333333333
H2X100_015_H2S_3_O_1H1C_ta_ta,H2X100,-0.001752961581404567,-1.1,"0.3333333333,H2S_3_O_1H1C_ta_ta,-0.3333333333,H2S_3_O_1H1C_ta_ta_mon1,-0.3333333333,H2S_3_O_1H1C_ta_ta_mon2,-0.3333333333,H2S_3_O_1H1C_ta_ta_mon3",0.006666666667
