Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry
ISOC7_0001_C5H6_1,ISOC7,0.1457174812165549,91.4391,"1,C5H6_1,-1,C5H6_20"
ISOC7_0002_C5H6_2,ISOC7,0.1436564764772544,90.1458,"1,C5H6_2,-1,C5H6_20"
ISOC7_0003_C5H6_3,ISOC7,0.1105337893161838,69.361,"1,C5H6_3,-1,C5H6_20"
ISOC7_0004_C5H6_4,ISOC7,0.09875611853115781,61.9704,"1,C5H6_4,-1,C5H6_20"
ISOC7_0005_C5H6_5,ISOC7,0.09041887388985392,56.7387,"1,C5H6_5,-1,C5H6_20"
ISOC7_0006_C5H6_6,ISOC7,0.08504843704500539,53.3687,"1,C5H6_6,-1,C5H6_20"
ISOC7_0007_C5H6_7,ISOC7,0.08175860623714030,51.3043,"1,C5H6_7,-1,C5H6_20"
ISOC7_0008_C5H6_8,ISOC7,0.08077503542982858,50.6871,"1,C5H6_8,-1,C5H6_20"
ISOC7_0009_C5H6_9,ISOC7,0.07802431998831728,48.961,"1,C5H6_9,-1,C5H6_20"
ISOC7_0010_C5H6_10,ISOC7,0.07758177686908451,48.6833,"1,C5H6_10,-1,C5H6_20"
ISOC7_0011_C5H6_11,ISOC7,0.07493671720288879,47.0235,"1,C5H6_11,-1,C5H6_20"
ISOC7_0012_C5H6_12,ISOC7,0.07476524568819867,46.9159,"1,C5H6_12,-1,C5H6_20"
ISOC7_0013_C5H6_13,ISOC7,0.06303729526802706,39.5565,"1,C5H6_13,-1,C5H6_20"
ISOC7_0014_C5H6_14,ISOC7,0.05573190755759540,34.9723,"1,C5H6_14,-1,C5H6_20"
ISOC7_0015_C5H6_15,ISOC7,0.04870109737486921,30.5604,"1,C5H6_15,-1,C5H6_20"
ISOC7_0016_C5H6_16,ISOC7,0.04857392798014550,30.4806,"1,C5H6_16,-1,C5H6_20"
ISOC7_0017_C5H6_17,ISOC7,0.04848946710395055,30.4276,"1,C5H6_17,-1,C5H6_20"
ISOC7_0018_C5H6_18,ISOC7,0.04560281745980852,28.6162,"1,C5H6_18,-1,C5H6_20"
ISOC7_0019_C5H6_19,ISOC7,0.04545254084423902,28.5219,"1,C5H6_19,-1,C5H6_20"
ISOC7_0020_C5H6_20,ISOC7,0e-42,0,"1,C5H6_20,-1,C5H6_20"
ISOC7_0021_C5H8_1,ISOC7,0.07812662920061381,49.0252,"1,C5H8_1,-1,C5H8_25"
ISOC7_0022_C5H8_2,ISOC7,0.07457066695266276,46.7938,"1,C5H8_2,-1,C5H8_25"
ISOC7_0023_C5H8_3,ISOC7,0.07268224924905875,45.6088,"1,C5H8_3,-1,C5H8_25"
ISOC7_0024_C5H8_4,ISOC7,0.06996133415443133,43.9014,"1,C5H8_4,-1,C5H8_25"
ISOC7_0025_C5H8_5,ISOC7,0.06524411453887164,40.9413,"1,C5H8_5,-1,C5H8_25"
ISOC7_0026_C5H8_6,ISOC7,0.06184512203252819,38.8084,"1,C5H8_6,-1,C5H8_25"
ISOC7_0027_C5H8_7,ISOC7,0.06076561641867050,38.131,"1,C5H8_7,-1,C5H8_25"
ISOC7_0028_C5H8_8,ISOC7,0.05838047314695394,36.6343,"1,C5H8_8,-1,C5H8_25"
ISOC7_0029_C5H8_9,ISOC7,0.05180654849639929,32.5091,"1,C5H8_9,-1,C5H8_25"
ISOC7_0030_C5H8_10,ISOC7,0.05079572710450391,31.8748,"1,C5H8_10,-1,C5H8_25"
ISOC7_0031_C5H8_11,ISOC7,0.04642782492407502,29.1339,"1,C5H8_11,-1,C5H8_25"
ISOC7_0032_C5H8_12,ISOC7,0.04425032791968302,27.7675,"1,C5H8_12,-1,C5H8_25"
ISOC7_0033_C5H8_13,ISOC7,0.04348890515277838,27.2897,"1,C5H8_13,-1,C5H8_25"
ISOC7_0034_C5H8_14,ISOC7,0.04303648170463224,27.0058,"1,C5H8_14,-1,C5H8_25"
ISOC7_0035_C5H8_15,ISOC7,0.04124065224455514,25.8789,"1,C5H8_15,-1,C5H8_25"
ISOC7_0036_C5H8_16,ISOC7,0.03950665452025849,24.7908,"1,C5H8_16,-1,C5H8_25"
ISOC7_0037_C5H8_17,ISOC7,0.03839878280081081,24.0956,"1,C5H8_17,-1,C5H8_25"
ISOC7_0038_C5H8_18,ISOC7,0.03784548438166202,23.7484,"1,C5H8_18,-1,C5H8_25"
ISOC7_0039_C5H8_19,ISOC7,0.03600312175960582,22.5923,"1,C5H8_19,-1,C5H8_25"
ISOC7_0040_C5H8_20,ISOC7,0.03506927131714848,22.0063,"1,C5H8_20,-1,C5H8_25"
ISOC7_0041_C5H8_21,ISOC7,0.03380076457278663,21.2103,"1,C5H8_21,-1,C5H8_25"
ISOC7_0042_C5H8_22,ISOC7,0.02978042686590714,18.6875,"1,C5H8_22,-1,C5H8_25"
ISOC7_0043_C5H8_23,ISOC7,0.01938934869177215,12.167,"1,C5H8_23,-1,C5H8_25"
ISOC7_0044_C5H8_24,ISOC7,0.01857932108101948,11.6587,"1,C5H8_24,-1,C5H8_25"
ISOC7_0045_C5H8_25,ISOC7,0e-42,0,"1,C5H8_25,-1,C5H8_25"
ISOC7_0046_C5H10_1,ISOC7,0.03187919995927969,20.0045,"1,C5H10_1,-1,C5H10_10"
ISOC7_0047_C5H10_2,ISOC7,0.02963317809306915,18.5951,"1,C5H10_2,-1,C5H10_10"
ISOC7_0048_C5H10_3,ISOC7,0.02836546814942612,17.7996,"1,C5H10_3,-1,C5H10_10"
ISOC7_0049_C5H10_4,ISOC7,0.02793471768083189,17.5293,"1,C5H10_4,-1,C5H10_10"
ISOC7_0050_C5H10_5,ISOC7,0.02359948432987463,14.8089,"1,C5H10_5,-1,C5H10_10"
ISOC7_0051_C5H10_6,ISOC7,0.02169879589520079,13.6162,"1,C5H10_6,-1,C5H10_10"
ISOC7_0052_C5H10_7,ISOC7,0.02019061149461780,12.6698,"1,C5H10_7,-1,C5H10_10"
ISOC7_0053_C5H10_8,ISOC7,0.01842123581840554,11.5595,"1,C5H10_8,-1,C5H10_10"
ISOC7_0054_C5H10_9,ISOC7,0.01681345132797002,10.5506,"1,C5H10_9,-1,C5H10_10"
ISOC7_0055_C5H10_10,ISOC7,0e-42,0,"1,C5H10_10,-1,C5H10_10"
ISOC7_0056_C6H6_1,ISOC7,0.2330425372753735,146.2364,"1,C6H6_1,-1,C6H6_56"
ISOC7_0057_C6H6_2,ISOC7,0.2111663735401633,132.5089,"1,C6H6_2,-1,C6H6_56"
ISOC7_0058_C6H6_3,ISOC7,0.2093050470609992,131.3409,"1,C6H6_3,-1,C6H6_56"
ISOC7_0059_C6H6_4,ISOC7,0.2032586044863036,127.5467,"1,C6H6_4,-1,C6H6_56"
ISOC7_0060_C6H6_5,ISOC7,0.1973264231346867,123.8242,"1,C6H6_5,-1,C6H6_56"
ISOC7_0061_C6H6_6,ISOC7,0.1939279087087746,121.6916,"1,C6H6_6,-1,C6H6_56"
ISOC7_0062_C6H6_7,ISOC7,0.1913775089679747,120.0912,"1,C6H6_7,-1,C6H6_56"
ISOC7_0063_C6H6_8,ISOC7,0.1877915870129960,117.841,"1,C6H6_8,-1,C6H6_56"
ISOC7_0064_C6H6_9,ISOC7,0.1839926005458048,115.4571,"1,C6H6_9,-1,C6H6_56"
ISOC7_0065_C6H6_10,ISOC7,0.1833629686177930,115.062,"1,C6H6_10,-1,C6H6_56"
ISOC7_0066_C6H6_11,ISOC7,0.1821409950354103,114.2952,"1,C6H6_11,-1,C6H6_56"
ISOC7_0067_C6H6_12,ISOC7,0.1792830302171458,112.5018,"1,C6H6_12,-1,C6H6_56"
ISOC7_0068_C6H6_13,ISOC7,0.1706775824538870,107.1018,"1,C6H6_13,-1,C6H6_56"
ISOC7_0069_C6H6_14,ISOC7,0.1657044304474422,103.9811,"1,C6H6_14,-1,C6H6_56"
ISOC7_0070_C6H6_15,ISOC7,0.1638700358325742,102.83,"1,C6H6_15,-1,C6H6_56"
ISOC7_0071_C6H6_16,ISOC7,0.1628209680061755,102.1717,"1,C6H6_16,-1,C6H6_56"
ISOC7_0072_C6H6_17,ISOC7,0.1626345166379715,102.0547,"1,C6H6_17,-1,C6H6_56"
ISOC7_0073_C6H6_18,ISOC7,0.1623347602075513,101.8666,"1,C6H6_18,-1,C6H6_56"
ISOC7_0074_C6H6_19,ISOC7,0.1618514208915150,101.5633,"1,C6H6_19,-1,C6H6_56"
ISOC7_0075_C6H6_20,ISOC7,0.1583917121703974,99.3923,"1,C6H6_20,-1,C6H6_56"
ISOC7_0076_C6H6_21,ISOC7,0.1582474912402910,99.3018,"1,C6H6_21,-1,C6H6_56"
ISOC7_0077_C6H6_22,ISOC7,0.1579526749743275,99.1168,"1,C6H6_22,-1,C6H6_56"
ISOC7_0078_C6H6_23,ISOC7,0.1563268827876466,98.0966,"1,C6H6_23,-1,C6H6_56"
ISOC7_0079_C6H6_24,ISOC7,0.1562543739222340,98.0511,"1,C6H6_24,-1,C6H6_56"
ISOC7_0080_C6H6_25,ISOC7,0.1556032283748140,97.6425,"1,C6H6_25,-1,C6H6_56"
ISOC7_0081_C6H6_26,ISOC7,0.1528287682718819,95.9015,"1,C6H6_26,-1,C6H6_56"
ISOC7_0082_C6H6_27,ISOC7,0.1521739574411554,95.4906,"1,C6H6_27,-1,C6H6_56"
ISOC7_0083_C6H6_28,ISOC7,0.1511099097612428,94.8229,"1,C6H6_28,-1,C6H6_56"
ISOC7_0084_C6H6_29,ISOC7,0.1504563738116665,94.4128,"1,C6H6_29,-1,C6H6_56"
ISOC7_0085_C6H6_30,ISOC7,0.1501258608734998,94.2054,"1,C6H6_30,-1,C6H6_56"
ISOC7_0086_C6H6_31,ISOC7,0.1500477744030554,94.1564,"1,C6H6_31,-1,C6H6_56"
ISOC7_0087_C6H6_32,ISOC7,0.1474627935110588,92.5343,"1,C6H6_32,-1,C6H6_56"
ISOC7_0088_C6H6_33,ISOC7,0.1439087435848329,90.3041,"1,C6H6_33,-1,C6H6_56"
ISOC7_0089_C6H6_34,ISOC7,0.1424572913954299,89.3933,"1,C6H6_34,-1,C6H6_56"
