Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_0001_s_li_1,TAE-PTComp,0.122796375312001,77.0558888888889,693.503,9,"-0.111111111111111,s_li_1,0.555555555555556,H,0.111111111111111,Li,0.222222222222222,C,0.111111111111111,Cl_anion",s_li
TAE-PTComp_0002_s_li_2,TAE-PTComp,0.0634758012636178,39.8316666666667,119.495,3,"-0.333333333333333,s_li_2,0.333333333333333,H_anion,0.333333333333333,H,0.333333333333333,Li",s_li
TAE-PTComp_0003_s_li_3,TAE-PTComp,0.108261844866588,67.9353333333333,611.418,9,"-0.111111111111111,s_li_3,0.444444444444444,H,0.222222222222222,Li,0.111111111111111,N,0.111111111111111,O_anion,0.111111111111111,O",s_li
TAE-PTComp_0004_s_li_4,TAE-PTComp,0.102816701917981,64.5184545454545,709.703,11,"-0.0909090909090909,s_li_4,0.454545454545455,H,0.181818181818182,Li,0.0909090909090909,N,0.181818181818182,O,0.0909090909090909,F_anion",s_li
TAE-PTComp_0005_s_li_5,TAE-PTComp,0.152576660524447,95.7433,957.433,10,"-0.1,s_li_5,0.3,H,0.2,Li,0.1,B,0.1,C,0.1,N,0.1,O,0.1,F",s_li
TAE-PTComp_0006_s_li_6,TAE-PTComp,0.144325772306311,90.5657894736842,1720.75,19,"-0.0526315789473684,s_li_6,0.315789473684211,H,0.105263157894737,Li,0.210526315789474,C,0.157894736842105,N,0.0526315789473684,O,0.157894736842105,F",s_li
TAE-PTComp_0007_s_li_7,TAE-PTComp,0.14690681951897,92.1854210526316,1751.523,19,"-0.0526315789473684,s_li_7,0.315789473684211,H,0.105263157894737,Li,0.210526315789474,C,0.157894736842105,N,0.0526315789473684,O,0.157894736842105,F",s_li
TAE-PTComp_0008_s_li_8,TAE-PTComp,0.140340055291116,88.0647142857143,1232.906,14,"-0.0714285714285714,s_li_8,0.642857142857143,H,0.0714285714285714,Li,0.285714285714286,C",s_li
TAE-PTComp_0009_s_li_9,TAE-PTComp,0.10511372316942,65.9598571428571,461.719,7,"-0.142857142857143,s_li_9,0.571428571428571,H,0.285714285714286,Li,0.142857142857143,C",s_li
TAE-PTComp_0010_s_li_10,TAE-PTComp,0.115206228731346,72.293,433.758,6,"-0.166666666666667,s_li_10,0.333333333333333,H,0.333333333333333,Li,0.333333333333333,C",s_li
TAE-PTComp_0011_s_li_11,TAE-PTComp,0.0822417861930329,51.6075,206.43,4,"-0.25,s_li_11,0.25,H,0.5,Li,0.25,N",s_li
TAE-PTComp_0012_s_li_12,TAE-PTComp,0.095611305454118,59.997,239.988,4,"-0.25,s_li_12,0.5,Li,0.5,S",s_li
TAE-PTComp_0013_s_li_13,TAE-PTComp,0.133889811186423,84.017125,672.137,8,"-0.125,s_li_13,0.5,Li,0.25,F,0.25,Cl",s_li
TAE-PTComp_0014_s_li_14,TAE-PTComp,0.124009442433016,77.8171,1556.342,20,"-0.05,s_li_14,0.6,H,0.2,Li,0.2,C",s_li
TAE-PTComp_0015_s_li_15,TAE-PTComp,0.106099792516129,66.578625,532.629,8,"-0.125,s_li_15,0.5,Li,0.5,N",s_li
