Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Label
TRIP50_1_dE_rxn,TRIP50,0.002838881041054795,1.781424749,"-1,1-R1,1,1-P1",rxn
TRIP50_1_dE_fwd,TRIP50,0.01476237878134170,9.263532545,"-1,1-R1,1,1-TS",fwd
TRIP50_1_dE_rev,TRIP50,0.01192349321605243,7.482104957,"-1,1-P1,1,1-TS",rev
TRIP50_2_dE_rxn,TRIP50,-0.02603475309180305,-16.33705422,"-1,1-P1,1,2-P1",rxn
TRIP50_2_dE_fwd,TRIP50,0.003670674300876580,2.3033829,"-1,1-P1,1,2-TS",fwd
TRIP50_2_dE_rev,TRIP50,0.02970546889006107,18.64046316,"-1,2-P1,1,2-TS",rev
TRIP50_3_dE_rxn,TRIP50,-0.02007848345048739,-12.59943859,"-1,3-R1,1,3-P1",rxn
TRIP50_3_dE_fwd,TRIP50,0.01943443980381034,12.1952951,"-1,3-R1,1,3-TS",fwd
TRIP50_3_dE_rev,TRIP50,0.03951295525381459,24.79475377,"-1,3-P1,1,3-TS",rev
TRIP50_4_dE_rxn,TRIP50,-0.02742103287873186,-17.20695792,"-1,3-R1,1,4-P1",rxn
TRIP50_4_dE_fwd,TRIP50,0.02610612689865572,16.38184196,"-1,3-R1,1,4-TS",fwd
TRIP50_4_dE_rev,TRIP50,0.05352720348987501,33.58882731,"-1,4-P1,1,4-TS",rev
TRIP50_5_dE_rxn,TRIP50,-0.04445382253654224,-27.8951948,"-1,5-R1,-1,5-R2,1,5-P1",rxn
TRIP50_5_dE_fwd,TRIP50,-0.01153821806405418,-7.240341149,"-1,5-R1,-1,5-R2,1,5-TS",fwd
TRIP50_5_dE_rev,TRIP50,0.03291567532241437,20.65489811,"-1,5-P1,1,5-TS",rev
TRIP50_6_dE_rxn,TRIP50,-0.07057713486497350,-44.28782078,"-1,5-R1,-1,5-R2,1,6-P1",rxn
TRIP50_6_dE_fwd,TRIP50,-0.003974474099731617,-2.494020152,"-1,5-R1,-1,5-R2,1,6-TS",fwd
TRIP50_6_dE_rev,TRIP50,0.06660277322888254,41.7938712,"-1,6-P1,1,6-TS",rev
TRIP50_7_dE_rxn,TRIP50,-0.02756674500544758,-17.29839366,"-1,7-R1,1,7-P1",rxn
TRIP50_7_dE_fwd,TRIP50,0.01031342913931722,6.471774495,"-1,7-R1,1,7-TS",fwd
TRIP50_7_dE_rev,TRIP50,0.03788021807238843,23.77019572,"-1,7-P1,1,7-TS",rev
TRIP50_8_dE_rxn,TRIP50,-0.05528103946445240,-34.689376,"-1,8-R1,-1,8-R2,1,8-P1",rxn
TRIP50_8_dE_fwd,TRIP50,-0.0007071236169979810,-0.443726769,"-1,8-R1,-1,8-R2,1,8-TS",fwd
TRIP50_8_dE_rev,TRIP50,0.05457400394014829,34.24570451,"-1,8-P1,1,8-TS",rev
TRIP50_9_dE_rxn,TRIP50,-0.01684143613254404,-10.56816073,"-1,9-R1,1,9-P1",rxn
TRIP50_9_dE_fwd,TRIP50,0.01454011251005036,9.124058354,"-1,9-R1,1,9-TS",fwd
TRIP50_9_dE_rev,TRIP50,0.03138157548840422,19.69223593,"-1,9-P1,1,9-TS",rev
TRIP50_10_dE_rxn,TRIP50,0.01100374834708179,6.904956338,"-1,10-R1,1,10-P1,1,10-P2",rxn
TRIP50_10_dE_fwd,TRIP50,0.02601598199672503,16.32527518,"-1,10-R1,1,10-TS",fwd
TRIP50_10_dE_rev,TRIP50,0.01501221612002742,9.420307842,"-1,10-P1,-1,10-P2,1,10-TS",rev
TRIP50_11_dE_rxn,TRIP50,0.004328009080747206,2.715866702,"-1,11-R1,1,11-P1,1,11-P2",rxn
TRIP50_11_dE_fwd,TRIP50,0.01708949855460135,10.72382225,"-1,11-R1,1,11-TS",fwd
TRIP50_11_dE_rev,TRIP50,0.01276148256877911,8.007951215,"-1,11-P1,-1,11-P2,1,11-TS",rev
TRIP50_12_dE_rxn,TRIP50,-0.05825564472087009,-36.55596898,"-1,12-R1,-1,12-R2,1,12-P1",rxn
TRIP50_12_dE_fwd,TRIP50,-0.0007374204982177986,-0.462738349,"-1,12-R1,-1,12-R2,1,12-TS",fwd
TRIP50_12_dE_rev,TRIP50,0.05751831706427845,36.09328889,"-1,12-P1,1,12-TS",rev
TRIP50_13_dE_rxn,TRIP50,-0.03512248495197026,-22.03969206,"-1,10-R1,-1,13-R2,1,13-P1",rxn
TRIP50_13_dE_fwd,TRIP50,0.01602890409745204,10.05828918,"-1,10-R1,-1,13-R2,1,13-TS",fwd
TRIP50_13_dE_rev,TRIP50,0.05115144501670479,32.09801636,"-1,13-P1,1,13-TS",rev
TRIP50_14_dE_rxn,TRIP50,-0.07532318794161681,-47.26601405,"-1,14-R1,-1,14-R2,1,14-P1",rxn
TRIP50_14_dE_fwd,TRIP50,-0.02643066099482065,-16.58549018,"-1,14-R1,-1,14-R2,1,14-TS",fwd
TRIP50_14_dE_rev,TRIP50,0.04889264697685644,30.68059919,"-1,14-P1,1,14-TS",rev
TRIP50_15_dE_rxn,TRIP50,-0.01872658027601087,-11.75110654,"-1,15-R1,-1,15-R2,1,15-P1",rxn
TRIP50_15_dE_fwd,TRIP50,0.03234425593383006,20.29632703,"-1,15-R1,-1,15-R2,1,15-TS",fwd
TRIP50_15_dE_rev,TRIP50,0.05107086605799585,32.0474523,"-1,15-P1,1,15-TS",rev
TRIP50_16_dE_rxn,TRIP50,-0.01527825568102250,-9.587250187,"-1,16-R1,-1,15-R2,1,16-P1",rxn
TRIP50_16_dE_fwd,TRIP50,0.02642195224981221,16.58002536,"-1,16-R1,-1,15-R2,1,16-TS",fwd
TRIP50_16_dE_rev,TRIP50,0.04170023226990947,26.16729082,"-1,16-P1,1,16-TS",rev
TRIP50_17_dE_rxn,TRIP50,-0.02782863129847186,-17.46272979,"-1,17-R1,-1,15-R1,1,17-P1",rxn
TRIP50_17_dE_fwd,TRIP50,0.01546497808577175,9.704420265,"-1,17-R1,-1,15-R1,1,17-TS",fwd
TRIP50_17_dE_rev,TRIP50,0.04329365374213963,27.16717789,"-1,17-P1,1,17-TS",rev
TRIP50_18_dE_rxn,TRIP50,-0.01050552092754077,-6.592313912,"-1,8-R1,-1,18-R2,1,18-P1",rxn
TRIP50_18_dE_fwd,TRIP50,0.001223125915582305,0.7675231,"-1,8-R1,-1,18-R2,1,18-TS",fwd
TRIP50_18_dE_rev,TRIP50,0.01172866358549978,7.359847518,"-1,18-P1,1,18-TS",rev
TRIP50_19_dE_rxn,TRIP50,-0.0005337059452369689,-0.334905537,"-1,19-R1,-1,18-R2,1,19-P1",rxn
TRIP50_19_dE_fwd,TRIP50,0.007088482285691701,4.448089791,"-1,19-R1,-1,18-R2,1,19-TS",fwd
TRIP50_19_dE_rev,TRIP50,0.007622189081911837,4.782995862,"-1,19-P1,1,19-TS",rev
TRIP50_20_dE_rxn,TRIP50,0.003703179741580012,2.323780372,"-1,20-R1,1,20-P1,1,20-P2",rxn
TRIP50_20_dE_fwd,TRIP50,0.01711430327969851,10.73938745,"-1,20-R1,1,20-TS",fwd
TRIP50_20_dE_rev,TRIP50,0.01341111763541877,8.415603374,"-1,20-P1,-1,20-P2,1,20-TS",rev
TRIP50_21_dE_rxn,TRIP50,-0.01298876779377583,-8.150574847,"-1,21-R1,1,21-P1",rxn
TRIP50_21_dE_fwd,TRIP50,0.01179739292550599,7.40297583,"-1,21-R1,1,21-TS",fwd
TRIP50_21_dE_rev,TRIP50,0.02478618142494529,15.55356367,"-1,21-P1,1,21-TS",rev
TRIP50_22_dE_rxn,TRIP50,-0.01910897150661063,-11.99106066,"-1,22-R1,1,22-P1",rxn
TRIP50_22_dE_fwd,TRIP50,0.01493541445408930,9.372114069,"-1,22-R1,1,22-TS",fwd
TRIP50_22_dE_rev,TRIP50,0.03404441641601701,21.36319384,"-1,22-P1,1,22-TS",rev
TRIP50_23_dE_rxn,TRIP50,-0.007713652969506033,-4.840390318,"-1,23-R1,1,23-P1",rxn
TRIP50_23_dE_fwd,TRIP50,0.01442562658916882,9.052217354,"-1,23-R1,1,23-TS",fwd
TRIP50_23_dE_rev,TRIP50,0.02213929185809075,13.89261539,"-1,23-P1,1,23-TS",rev
TRIP50_24_dE_rxn,TRIP50,-0.01674841914648634,-10.50979169,"-1,24-R1,1,24-P1",rxn
TRIP50_24_dE_fwd,TRIP50,0.007157062306836804,4.491124404,"-1,24-R1,1,24-TS",fwd
TRIP50_24_dE_rev,TRIP50,0.02390550813977282,15.00093284,"-1,24-P1,1,24-TS",rev
TRIP50_25_dE_rxn,TRIP50,-0.003697672670941502,-2.320324633,"-1,25-R1,-1,25-R2,1,25-P1,1,10-P2",rxn
TRIP50_25_dE_fwd,TRIP50,0.02054914711726464,12.8947845,"-1,25-R1,-1,25-R2,1,25-TS",fwd
TRIP50_25_dE_rev,TRIP50,0.02424682567975065,15.21511283,"-1,25-P1,-1,10-P2,1,25-TS",rev
TRIP50_26_dE_rxn,TRIP50,-0.001954552685967364,-1.226500328,"-1,25-R1,-1,26-R2,1,25-P1,1,26-P2",rxn
TRIP50_26_dE_fwd,TRIP50,0.02486348629762857,15.60207321,"-1,25-R1,-1,26-R2,1,26-TS",fwd
TRIP50_26_dE_rev,TRIP50,0.02681804209430594,16.82857549,"-1,25-P1,-1,26-P2,1,26-TS",rev
TRIP50_27_dE_rxn,TRIP50,0.008773805583127137,5.505646127,"-1,27-R1,-1,27-R2,1,27-P1,1,27-P2",rxn
TRIP50_27_dE_fwd,TRIP50,0.02066372118024169,12.96668081,"-1,27-R1,-1,27-R2,1,27-TS",fwd
TRIP50_27_dE_rev,TRIP50,0.01188990162282354,7.461025914,"-1,27-P1,-1,27-P2,1,27-TS",rev
TRIP50_28_dE_rxn,TRIP50,-0.01267383397178842,-7.95295089,"-1,25-R2,-1,27-R1,1,27-P1,1,10-P2",rxn
TRIP50_28_dE_fwd,TRIP50,0.01179679389869359,7.402599935,"-1,25-R2,-1,27-R1,1,28-TS",fwd
TRIP50_28_dE_rev,TRIP50,0.02447064806938023,15.3555635,"-1,27-P1,-1,10-P2,1,28-TS",rev
TRIP50_29_dE_rxn,TRIP50,-0.02487167377560677,-15.60721093,"-1,29-R1,-1,27-R1,1,27-P1,1,29-P2",rxn
TRIP50_29_dE_fwd,TRIP50,0.004521773382364385,2.837455637,"-1,29-R1,-1,27-R1,1,29-TS",fwd
TRIP50_29_dE_rev,TRIP50,0.02939348679561971,18.44469144,"-1,27-P1,-1,29-P2,1,29-TS",rev
TRIP50_30_dE_rxn,TRIP50,-0.04120270588520247,-25.8550883,"-1,30-R1,-1,27-R1,1,27-P1,1,30-P2",rxn
TRIP50_30_dE_fwd,TRIP50,0.007027520563867317,4.409835733,"-1,30-R1,-1,27-R1,1,30-TS",fwd
TRIP50_30_dE_rev,TRIP50,0.04823029210066822,30.26496523,"-1,27-P1,-1,30-P2,1,30-TS",rev
TRIP50_31_dE_rxn,TRIP50,-0.02735030672743946,-17.16257659,"-1,31-R1,1,31-P1",rxn
TRIP50_31_dE_fwd,TRIP50,0.008894628890397835,5.581463897,"-1,31-R1,1,31-TS",fwd
TRIP50_31_dE_rev,TRIP50,0.03624497920761742,22.74406784,"-1,31-P1,1,31-TS",rev
TRIP50_32_dE_rxn,TRIP50,-0.02173293471044654,-13.63762243,"-1,32-R1,1,32-P1",rxn
TRIP50_32_dE_fwd,TRIP50,0.01049855270605451,6.587941287,"-1,32-R1,1,32-TS",fwd
TRIP50_32_dE_rev,TRIP50,0.03223152205024109,20.22558545,"-1,32-P1,1,32-TS",rev
TRIP50_33_dE_rxn,TRIP50,-0.01904481877001633,-11.95080421,"-1,33-R1,1,33-P1",rxn
TRIP50_33_dE_fwd,TRIP50,0.01269647054157282,7.967155552,"-1,33-R1,1,33-TS",fwd
TRIP50_33_dE_rev,TRIP50,0.03174131965057331,19.9179788,"-1,33-P1,1,33-TS",rev
TRIP50_34_dE_rxn,TRIP50,-0.02032709090017239,-12.75544212,"-1,34-R1,1,34-P1",rxn
TRIP50_34_dE_fwd,TRIP50,0.01175530219685295,7.376563499,"-1,34-R1,1,34-TS",fwd
TRIP50_34_dE_rev,TRIP50,0.03208242549653617,20.13202595,"-1,34-P1,1,34-TS",rev
TRIP50_35_dE_rxn,TRIP50,-0.02031735731007939,-12.7493342,"-1,35-R1,1,35-P1",rxn
TRIP50_35_dE_fwd,TRIP50,0.01161294441949290,7.287232645,"-1,35-R1,1,35-TS",fwd
