Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Label
W1-SN2-BH_0001_F_Br-Br-Cl-C_SH_TS,W1-SN2-BH,0.01805215568311182,11.3278987184147,"1,F_Br-Br-Cl-C_SH_TS,-1,F_minus,-1,SH-Br-Br-Cl-C_reactant",F_minus
W1-SN2-BH_0002_F_Br-Br-Cl-C_SH_TS,W1-SN2-BH,0.04229043817424480,26.5376506166184,"1,F_Br-Br-Cl-C_SH_TS,-1,SH_minus,-1,F-Br-Br-Cl-C_reactant",SH_minus
W1-SN2-BH_0003_F_Br-Br-F-C_SH_TS,W1-SN2-BH,0.01358595139526905,8.5253132146921207,"1,F_Br-Br-F-C_SH_TS,-1,F_minus,-1,SH-Br-Br-F-C_reactant",F_minus
W1-SN2-BH_0004_F_Br-Br-F-C_SH_TS,W1-SN2-BH,0.04670259511916479,29.306320900608998,"1,F_Br-Br-F-C_SH_TS,-1,SH_minus,-1,F-Br-Br-F-C_reactant",SH_minus
W1-SN2-BH_0005_F_Br-Br-H-C_SH_TS,W1-SN2-BH,0.01365893160390427,8.5711089870298203,"1,F_Br-Br-H-C_SH_TS,-1,F_minus,-1,SH-Br-Br-H-C_reactant",F_minus
W1-SN2-BH_0006_F_Br-Br-H-C_SH_TS,W1-SN2-BH,0.03466190665600841,21.750674815736101,"1,F_Br-Br-H-C_SH_TS,-1,SH_minus,-1,F-Br-Br-H-C_reactant",SH_minus
W1-SN2-BH_0007_F_Br-CCH-Cl-C_F_TS,W1-SN2-BH,0.004655660809462691,2.9214712659621198,"1,F_Br-CCH-Cl-C_F_TS,-1,F_minus,-1,F-Br-CCH-Cl-C_reactant",F_minus
W1-SN2-BH_0008_F_Br-CCH-Cl-C_OH_TS,W1-SN2-BH,0.03829408856223921,24.029903373416499,"1,F_Br-CCH-Cl-C_OH_TS,-1,F_minus,-1,OH-Br-CCH-Cl-C_reactant",F_minus
W1-SN2-BH_0009_F_Br-CCH-F-C_OH_TS,W1-SN2-BH,0.03714608209192453,23.3095184370083,"1,F_Br-CCH-F-C_OH_TS,-1,F_minus,-1,OH-Br-CCH-F-C_reactant",F_minus
W1-SN2-BH_0010_F_Br-CCH-F-C_OH_TS,W1-SN2-BH,0.00005974014447328487,3.7487506638884602E-2,"1,F_Br-CCH-F-C_OH_TS,-1,OH_minus,-1,F-Br-CCH-F-C_reactant",OH_minus
W1-SN2-BH_0011_F_Br-CCH-H-C_OH_TS,W1-SN2-BH,0.03167892429155239,19.878825121076801,"1,F_Br-CCH-H-C_OH_TS,-1,F_minus,-1,OH-Br-CCH-H-C_reactant",F_minus
W1-SN2-BH_0012_F_Br-CCH-Me-C_F_TS,W1-SN2-BH,0.009130273750989104,5.7293332795353002,"1,F_Br-CCH-Me-C_F_TS,-1,F_minus,-1,F-Br-CCH-Me-C_reactant",F_minus
W1-SN2-BH_0013_F_Br-CCH-NH2-C_F_TS,W1-SN2-BH,0.002589733133585164,1.62508207661981,"1,F_Br-CCH-NH2-C_F_TS,-1,F_minus,-1,F-Br-CCH-NH2-C_reactant",F_minus
W1-SN2-BH_0014_F_Br-CCH-OH-C_SH_TS,W1-SN2-BH,0.007162629041165996,4.4946175825311601,"1,F_Br-CCH-OH-C_SH_TS,-1,F_minus,-1,SH-Br-CCH-OH-C_reactant",F_minus
W1-SN2-BH_0015_F_Br-CCH-OH-C_SH_TS,W1-SN2-BH,0.03521606522836588,22.098414570023699,"1,F_Br-CCH-OH-C_SH_TS,-1,SH_minus,-1,F-Br-CCH-OH-C_reactant",SH_minus
W1-SN2-BH_0016_F_Br-CN-Cl-C_OH_TS,W1-SN2-BH,0.01536848194364284,9.6438680216035699,"1,F_Br-CN-Cl-C_OH_TS,-1,F_minus,-1,OH-Br-CN-Cl-C_reactant",F_minus
W1-SN2-BH_0017_F_Br-CN-H-C_OH_TS,W1-SN2-BH,0.01448181486730286,9.0874760308603992,"1,F_Br-CN-H-C_OH_TS,-1,F_minus,-1,OH-Br-CN-H-C_reactant",F_minus
W1-SN2-BH_0018_F_Br-CN-Me-C_OH_TS,W1-SN2-BH,0.02152571021872066,13.5075870981841,"1,F_Br-CN-Me-C_OH_TS,-1,F_minus,-1,OH-Br-CN-Me-C_reactant",F_minus
W1-SN2-BH_0019_F_Br-CN-NH2-C_OH_TS,W1-SN2-BH,0.01415360160257035,8.8815190977275709,"1,F_Br-CN-NH2-C_OH_TS,-1,F_minus,-1,OH-Br-CN-NH2-C_reactant",F_minus
W1-SN2-BH_0020_F_Br-CN-OH-C_SH_TS,W1-SN2-BH,0.02076258223014922,13.0287170554328,"1,F_Br-CN-OH-C_SH_TS,-1,SH_minus,-1,F-Br-CN-OH-C_reactant",SH_minus
W1-SN2-BH_0021_F_Br-F-H-C_PH2_TS,W1-SN2-BH,0.03774207666977148,23.683510681097498,"1,F_Br-F-H-C_PH2_TS,-1,F_minus,-1,PH2-Br-F-H-C_reactant",F_minus
W1-SN2-BH_0022_F_Br-F-H-C_PH2_TS,W1-SN2-BH,0.03497473726486812,21.9469789865725,"1,F_Br-F-H-C_PH2_TS,-1,PH2_minus,-1,F-Br-F-H-C_reactant",PH2_minus
W1-SN2-BH_0023_F_Br-H-Me-C_F_TS,W1-SN2-BH,0.006233717580299325,3.9117168402715299,"1,F_Br-H-Me-C_F_TS,-1,F_minus,-1,F-Br-H-Me-C_reactant",F_minus
W1-SN2-BH_0024_F_Br-H-Me-C_OH_TS,W1-SN2-BH,0.04087485518992307,25.649358882634001,"1,F_Br-H-Me-C_OH_TS,-1,F_minus,-1,OH-Br-H-Me-C_reactant",F_minus
W1-SN2-BH_0025_F_Br-H-Me-C_OH_TS,W1-SN2-BH,0.003997629255589342,2.5085502316741302,"1,F_Br-H-Me-C_OH_TS,-1,OH_minus,-1,F-Br-H-Me-C_reactant",OH_minus
W1-SN2-BH_0026_F_Br-H-NH2-C_F_TS,W1-SN2-BH,0.0009061230038240102,0.56860076956608097,"1,F_Br-H-NH2-C_F_TS,-1,F_minus,-1,F-Br-H-NH2-C_reactant",F_minus
W1-SN2-BH_0027_F_Br-H-OH-C_PH2_TS,W1-SN2-BH,0.03252188446586317,20.407790616714699,"1,F_Br-H-OH-C_PH2_TS,-1,F_minus,-1,PH2-Br-H-OH-C_reactant",F_minus
W1-SN2-BH_0028_F_Br-H-OH-C_PH2_TS,W1-SN2-BH,0.03073942605087846,19.289281074188299,"1,F_Br-H-OH-C_PH2_TS,-1,PH2_minus,-1,F-Br-H-OH-C_reactant",PH2_minus
W1-SN2-BH_0029_F_Br-H-OH-C_SH_TS,W1-SN2-BH,0.0001993722330352794,0.125107965094754,"1,F_Br-H-OH-C_SH_TS,-1,F_minus,-1,SH-Br-H-OH-C_reactant",F_minus
W1-SN2-BH_0030_F_Br-H-OH-C_SH_TS,W1-SN2-BH,0.03449308647367272,21.644738551907398,"1,F_Br-H-OH-C_SH_TS,-1,SH_minus,-1,F-Br-H-OH-C_reactant",SH_minus
W1-SN2-BH_0031_F_Br-Me-Me-C_F_TS,W1-SN2-BH,0.01793195306983524,11.2524704397765,"1,F_Br-Me-Me-C_F_TS,-1,F_minus,-1,F-Br-Me-Me-C_reactant",F_minus
W1-SN2-BH_0032_F_Br-Me-Me-C_OH_TS,W1-SN2-BH,0.05305097336134575,33.2899883925136,"1,F_Br-Me-Me-C_OH_TS,-1,F_minus,-1,OH-Br-Me-Me-C_reactant",F_minus
