Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Method,Source
atmospheric218_001_2sa-2sa-6,atmospheric218,-0.02629460163073301,-16.50011164,"1,2sa-2sa-6,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_002_2sa-2sa-5,atmospheric218,-0.02634694579661041,-16.5329581,"1,2sa-2sa-5,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_003_2sa-2sa-3,atmospheric218,-0.02936307831449122,-18.42560983,"1,2sa-2sa-3,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_004_2sa-2sa-2,atmospheric218,-0.03057057012348948,-19.18332238,"1,2sa-2sa-2,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_005_2sa-2sa-1,atmospheric218,-0.02917976728134428,-18.31058042,"1,2sa-2sa-1,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_006_2sa-2sa-18,atmospheric218,-0.01457674298329432,-9.147044323,"1,2sa-2sa-18,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_007_2sa-2sa-16,atmospheric218,-0.01507348000621400,-9.458751511,"1,2sa-2sa-16,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_008_2sa-2sa-13,atmospheric218,-0.01498178120742548,-9.401209646,"1,2sa-2sa-13,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_009_2sa-2sa-12,atmospheric218,-0.01701062664581639,-10.67432938,"1,2sa-2sa-12,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_010_2sa-2sa-11,atmospheric218,-0.01736205925219936,-10.89485667,"1,2sa-2sa-11,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
