Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry
vL27_01_CiM_a,vL27,-0.06615039567645780,-41.51,"1,CiM_a_complex,-1,CiM_a_monA,-1,CiM_a_monB"
vL27_02_CiM_c,vL27,-0.02379246946397290,-14.93,"1,CiM_c_complex,-1,CiM_c_monA,-1,CiM_c_monB"
vL27_03_CiM_d,vL27,-0.1181814826154206,-74.16,"1,CiM_d_complex,-1,CiM_d_monA,-1,CiM_d_monB"
vL27_04_CiM_e,vL27,-0.1069306564656786,-67.10,"1,CiM_e_complex,-1,CiM_e_monA,-1,CiM_e_monB"
vL27_05_DNA_ellipticine,vL27,-0.06221420012548573,-39.04,"1,DNA_ellipticine_complex,-1,DNA_ellipticine_monA,-1,DNA_ellipticine_monB"
vL27_06_S12L_3a,vL27,-0.06170424766544076,-38.72,"1,S12L_3a_complex,-1,S12L_3a_monA,-1,S12L_3a_monB"
vL27_07_S12L_4a,vL27,-0.06283570468616553,-39.43,"1,S12L_4a_complex,-1,S12L_4a_monA,-1,S12L_4a_monB"
vL27_08_S12L_5a,vL27,-0.06868422196230622,-43.10,"1,S12L_5a_complex,-1,S12L_5a_monA,-1,S12L_5a_monB"
vL27_09_S12L_5b,vL27,-0.04752119487044018,-29.82,"1,S12L_5b_complex,-1,S12L_5b_monA,-1,S12L_5b_monB"
vL27_10_S12L_7b,vL27,-0.04419056786577150,-27.73,"1,S12L_7b_complex,-1,S12L_7b_monA,-1,S12L_7b_monB"
vL27_11_S30L_5,vL27,-0.06076402281723286,-38.13,"1,S30L_5_complex,-1,S30L_5_monA,-1,S30L_5_monB"
vL27_12_S30L_6,vL27,-0.04626224973470417,-29.03,"1,S30L_6_complex,-1,S30L_6_monA,-1,S30L_6_monB"
vL27_13_S30L_7,vL27,-0.06058872665909240,-38.02,"1,S30L_7_complex,-1,S30L_7_monA,-1,S30L_7_monB"
vL27_14_S30L_8,vL27,-0.06893919819232871,-43.26,"1,S30L_8_complex,-1,S30L_8_monA,-1,S30L_8_monB"
vL27_15_S30L_13,vL27,-0.04333002308944562,-27.19,"1,S30L_13_complex,-1,S30L_13_monA,-1,S30L_13_monB"
vL27_16_S30L_14,vL27,-0.04615069763406933,-28.96,"1,S30L_14_complex,-1,S30L_14_monA,-1,S30L_14_monB"
vL27_17_S30L_19,vL27,-0.02793583320183824,-17.53,"1,S30L_19_complex,-1,S30L_19_monA,-1,S30L_19_monB"
vL27_18_S30L_20,vL27,-0.03357718229108566,-21.07,"1,S30L_20_complex,-1,S30L_20_monA,-1,S30L_20_monB"
vL27_19_S30L_22,vL27,-0.07196704092384568,-45.16,"1,S30L_22_complex,-1,S30L_22_monA,-1,S30L_22_monB"
vL27_20_C60_C60,vL27,-0.01577665423264110,-9.90,"1,C60_C60_complex,-1,C60_C60_monA,-1,C60_C60_monB"
vL27_21_C60_at_6CPPA,vL27,-0.06570418727391846,-41.23,"1,C60_at_6CPPA_complex,-1,C60_at_6CPPA_monA,-1,C60_at_6CPPA_monB"
vL27_22_Cor_C60,vL27,-0.02642191183607975,-16.58,"1,Cor_C60_complex,-1,Cor_C60_monA,-1,Cor_C60_monB"
vL27_23_Coran_C60,vL27,-0.01904353717980416,-11.95,"1,Coran_C60_complex,-1,Coran_C60_monA,-1,Coran_C60_monB"
vL27_24_Suman_C60,vL27,-0.03061308361707430,-19.21,"1,Suman_C60_complex,-1,Suman_C60_monA,-1,Suman_C60_monB"
vL27_25_3NSuman_C60,vL27,-0.02779240907245059,-17.44,"1,3NSuman_C60_complex,-1,3NSuman_C60_monA,-1,3NSuman_C60_monB"
vL27_26_PClCoran_C60,vL27,-0.03383215852110815,-21.23,"1,PClCoran_C60_complex,-1,PClCoran_C60_monA,-1,PClCoran_C60_monB"
vL27_27_DClCoran_C60,vL27,-0.03984003594101289,-25.00,"1,DClCoran_C60_complex,-1,DClCoran_C60_monA,-1,DClCoran_C60_monB"
