Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,0.7483956819355995,4.023696668420418,2.825961262327925,3.143453386406717,1.100814786686516,4.290256055710718,3.052264495146727,2.493602876566929,1.825275100014047,3.387038758728104,1.938713825347009,2.777102097874708,2.888913258387677,1.285163335742606,2.911571035352107,3.152925303088235
BH46,Barrier Height,0.8774830653669782,5.254465417725121,1.709532587588618,3.765153897711832,1.960042514813978,1.948343127791802,1.580021632535299,1.220700364533321,1.784076066589254,4.496440474966417,3.658203040706099,1.967133154162132,3.835217072052149,1.841387908524527,2.218076180391241,2.212016562105886
BH876,Barrier Height,1.839128131653132,6.04510058947498,3.231804083446226,3.97582674737329,2.201763249651308,2.076961403403889,2.109329600141707,2.095757708367342,2.599917921518831,3.438690649887346,3.783878607469059,3.707889502242978,3.045488162265229,1.804771010623351,2.950287978820729,4.648226706101787
BHDIV7,Barrier Height,0.9495143357111984,3.375277863991814,1.640266660571682,1.957448423764439,1.498746521767662,1.500995669271459,1.476110186926947,1.491253120954712,2.11386055380531,4.692305462976479,2.398009824664507,1.455173470573016,3.264568757804585,1.852917983447746,1.05807519829898,0.9601935048661326
BHPERI11,Barrier Height,0.6230363748948491,6.869891244510263,4.18332880285877,6.918804348119488,1.510590936142203,1.481655778399291,1.587393116217098,1.33686956470838,1.7340415702553,1.168054755393313,2.228082648518764,4.736797518183824,1.383228258260714,1.629023423453798,3.466768567972692,3.910845256486777
BHROT27,Barrier Height,0.1931246437213452,0.6035762935240203,0.8412602108556737,0.6651715744092949,0.3607010945183119,0.6569699810007172,0.5225873861068565,0.5989828684417252,0.6699111728323437,0.7822097450541118,0.7647933185687749,0.5112977099162562,1.071357835543584,0.2987662495349405,0.4249687887831359,0.1519451645394878
CRBH14,Barrier Height,1.45696324956597,8.916703114813865,3.1653148089694,1.912812342337054,2.329954091232462,2.551624329157449,1.420904921427073,1.098239019642125,1.052249992324635,1.195945766725034,4.508800130383826,1.377361906364619,0.8746416017078256,1.346025294997271,3.004848945365209,0.5949386872571476
DBH22,Barrier Height,0.6440088951277769,4.795865874051273,1.677410919097516,3.0741177849789,1.854906092416744,1.604172257949286,1.122507690036415,1.284998059244481,1.896443532288552,4.469937869116673,3.272282208565038,1.683702369974722,3.788581787352051,1.524811604227977,1.783773110761115,1.383339196304
INV23,Barrier Height,0.9703172140849908,2.140053077632535,2.128568185538048,2.078282971236562,1.777939913137912,2.155497158998266,2.15162325039644,2.219340364066674,3.271304981218526,1.953088927695475,1.908402767833334,2.364932491954246,2.142419256558195,1.428791155747,1.966279180550785,3.13777141798254
ORBH35,Barrier Height,4.334887755571412,4.501427102554387,3.941893303299403,3.627113293278259,3.978596351724113,4.11613058308884,4.635118736135721,4.844846331280539,4.261697910563663,4.377693945692111,4.054025540571833,3.859942916344577,3.915156223982877,3.919254253431618,3.734324745859532,6.878061245948436
PX9,Barrier Height,0.6490543437071491,3.677970036472272,1.047762841266996,4.697353368496924,1.174511872988792,8.274613272495168,5.693677915778595,3.151203679304087,2.264054442196366,6.345024181771514,1.495146311818631,1.402379391605489,5.085739406540953,2.029945827686913,2.722342652829612,1.406652005679032
WCPT26,Barrier Height,0.7992784659624252,1.817746649338243,1.669383832972682,2.707125324382585,1.532635593132276,3.888843150062784,3.41912534575877,1.711985268770084,2.25045145847139,5.061802345282806,1.607066000586549,1.654272876688258,4.548265496555775,1.56062470665463,1.671465424881089,1.185821982821773
Dip146,Electric field,0.0625540538547022,0.1456276187004423,0.1363178573230456,0.1024422219505788,0.1770783007235873,0.1023424220134563,0.1098934557977902,0.09028320340699073,0.2089549952734532,0.1027589097739376,0.1138271751510093,0.07549687773184309,0.09257742824434878,0.1098423965830419,0.0900975479728403,0.1406148694481676
HR46,Electric field,0.1311784496099055,0.2613784691458636,0.1258659077023721,0.1655569553514404,0.2494036800526273,0.128136248507517,0.1310035003223998,0.1293064678615941,0.2080074746741996,0.1910956487132479,0.1981442612003619,0.1476745101411746,0.1457811497646634,0.2224039961328339,0.1255754210693465,0.1244061507863301
OEEF,Electric field,0.1872940549016861,1.738007886332599,0.5707817049856363,0.5062964199395399,0.6166376115495528,0.7299873928685556,0.3928772081675535,0.9546076286844722,0.5526991274694122,1.691664837239286,1.357569883086883,0.55103531998017,0.6982100547597001,0.4164821780244457,0.4073247763951868,0.7945980802978888
Pol130,Electric field,1.071277400116919,0.887634950306877,0.9512042429511448,0.9505618644114554,1.412572502541565,0.863711538064008,1.107275012647515,1.167162680143686,0.8523724746855587,0.6865102325610717,0.7811239045945719,0.8063918554343289,0.4897858518791998,0.7992815642677665,0.8952183517424098,9.904358431963185
T144,Electric field,0.2000121446692243,0.5607123731080964,0.3202571998100849,0.3280299342083297,0.4320213949654451,0.2798934154256115,0.2745062991793221,0.2940950197189695,0.3717343674344085,0.4528824870841052,0.4502751371080419,0.3393755781018289,0.3924580539669994,0.3657539463033931,0.2524668932399307,2.490409401054734
