Unnamed: 0,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
01_water-ammonia_0p9_dim_A21x12,-133.0970126117,-133.0741438597,-132.9867949516,-133.016432506,-132.983136,-133.0420028071,-133.0025662155,-133.0237936026,-132.9756708781,-132.9157782749,-133.2096791792,-133.0209020435,-132.9714208828,-133.0032815206,-133.0152085546,-132.866527571583
01_water-ammonia_1p0_dim_A21x12,-133.0998776904,-133.0772079996,-132.9901059313,-133.0190542699,-132.98654251,-133.0450410821,-133.0054133266,-133.0275451035,-132.9791265465,-132.9181384766,-133.2128123351,-133.0239553603,-132.9736963953,-133.006465731,-133.0182442696,-132.86950587506
01_water-ammonia_1p1_dim_A21x12,-133.09855102,-133.0760070291,-132.988906281,-133.0175312717,-132.98544906,-133.0438447723,-133.0040579737,-133.0262970043,-132.9781568889,-132.9165873757,-133.2117193709,-133.0225528665,-132.972087849299,-133.0052603685,-133.0169994139,-132.868213594422
01_water-ammonia_1p2_dim_A21x12,-133.0964856127,-133.0740350807,-132.9867742737,-133.0153397461,-132.98349681,-133.0417814543,-133.0019070248,-133.024123543,-132.9762379055,-132.914449362,-133.2098263092,-133.0203333176,-132.969893760299,-133.0032115624,-133.0149558435,-132.866138328406
01_water-ammonia_1p4_dim_A21x12,-133.0933152599,-133.0710308919,-132.9836587027,-133.0120874305,-132.98040757,-133.0385323903,-132.9988335961,-133.0208445912,-132.9729820308,-132.9112817422,-133.2068359317,-133.0172215293,-132.9666721399,-133.0000317849,-133.0117392068,-132.862897984698
01_water-ammonia_1p6_dim_A21x12,-133.091641132,-133.0694967994,-132.9825545609,-133.0104351283,-132.97868445,-133.0367661591,-132.997288491,-133.019183881,-132.971154942,-132.9096186137,-133.2051912771,-133.016047918,-132.965027307499,-132.9983625172,-133.0100067902,-132.86117386916
01_water-ammonia_2p0_dim_A21x12,-133.090317175,-133.068330752,-132.9816586444,-133.0091800108,-132.97728286,-133.0354117874,-132.9959034962,-133.0178883825,-132.9698137273,-132.9083030767,-133.2038355745,-133.0150107935,-132.9637490665,-132.9970141038,-133.008644374,-132.859821901452
01a_water_dimAB_3B-69,-152.9732536049,-152.9456931654,-152.8574661664,-152.8894463572,-152.86712127,-152.913266738,-152.8718663674,-152.8842343213,-152.8486665449,-152.7720542977,-153.0990485268,-152.8807913467,-152.8318816951,-152.8782470498,-152.8799489145,-152.724171061576
01a_water_dimAC_3B-69,-152.9788164015,-152.9506635821,-152.8622040141,-152.8956773728,-152.87236448,-152.9190352541,-152.8774218455,-152.8898394599,-152.854092386,-152.777808109,-153.1038786159,-152.8859606877,-152.8380709531,-152.8836205258,-152.8853835855,-152.72968147079
01a_water_dimBC_3B-69,-152.979081569,-152.950836719,-152.8623993083,-152.8958146411,-152.8725511,-152.919211137,-152.8776194595,-152.8900157243,-152.8542241784,-152.7780124548,-153.1040987785,-152.8862314946,-152.8383015477,-152.8838349183,-152.8855880647,-152.729930931657
01a_water_monA_3B-69,-76.4855875497,-76.4719616397,-76.4279117493,-76.4438016868,-76.43253392,-76.4556580225,-76.4348882817,-76.4411399682,-76.4234063001,-76.3850350445,-76.5484886433,-76.4394527985,-76.4149281133,-76.4380968413,-76.4389561951,-76.361041307774
01a_water_monB_3B-69,-76.4861035512,-76.4723776767,-76.4283169367,-76.4441771379,-76.43294809,-76.4560456578,-76.4352995494,-76.4415152609,-76.4237316562,-76.3854976864,-76.5489408924,-76.4399593215,-76.4154170588,-76.4385444901,-76.43939103,-76.361541203608
01a_water_monC_3B-69,-76.4858883642,-76.472212508,-76.4281619091,-76.444034972,-76.43278209,-76.4558982711,-76.4351382839,-76.441376005,-76.4236141152,-76.385310445,-76.5487610113,-76.4397527575,-76.415221009,-76.438363879,-76.4392174161,-76.361332991192
01a_water_trim_3B-69,-229.4757987999,-229.4331007842,-229.3002380088,-229.3512977505,-229.31604078,-229.3862513418,-229.3237244297,-229.3423101303,-229.2885473952,-229.1743473166,-229.6630119867,-229.336164753,-229.2650247328,-229.3329898058,-229.3356613725,-229.102129289462
01b_water_dimAB_3B-69,-152.9784362044,-152.9501673096,-152.8616853461,-152.895093827,-152.87192912,-152.9184895451,-152.8769230476,-152.8892723442,-152.8535628344,-152.7773420053,-153.1034161951,-152.8855437981,-152.8376184251,-152.8831804434,-152.8849169604,-152.729273412289
01b_water_dimAC_3B-69,-152.9779988638,-152.9498147598,-152.8612770584,-152.8948100975,-152.87151279,-152.9181045226,-152.8765321343,-152.8888798587,-152.8531878486,-152.7769814163,-153.1030030895,-152.8850992517,-152.8372169742,-152.8827627436,-152.8845161067,-152.728854730324
01b_water_dimBC_3B-69,-152.9704156378,-152.942756419,-152.8542524569,-152.8863883329,-152.86419689,-152.9101503622,-152.8688451068,-152.8810980897,-152.8456372363,-152.769143532,-153.096150933,-152.8778161646,-152.8289138848,-152.87531804,-152.876996509,-152.721312591451
01b_water_monA_3B-69,-76.4855875497,-76.4719616397,-76.4279117493,-76.4438016868,-76.43253392,-76.4556580225,-76.4348882817,-76.4411399682,-76.4234063001,-76.3850350445,-76.5484886433,-76.4394527985,-76.4149281133,-76.4380968413,-76.4389561951,-76.361041307774
01b_water_monB_3B-69,-76.486168293,-76.4724292989,-76.428372763,-76.44422713,-76.43299853,-76.4560980263,-76.435352385,-76.4415664795,-76.4237762157,-76.385557448,-76.5490020305,-76.4400268588,-76.415484904,-76.4386013143,-76.4394462879,-76.361602261565
01b_water_monC_3B-69,-76.4858196418,-76.4721503928,-76.4280836785,-76.4439652118,-76.43272409,-76.4558226497,-76.4350682034,-76.4412963654,-76.4235456945,-76.3852397442,-76.5486832374,-76.4396733631,-76.4151345249,-76.4382969177,-76.4391505564,-76.361269629148
01b_water_trim_3B-69,-229.4675218423,-229.4244158283,-229.2913635488,-229.3424689988,-229.30739235,-229.3772466368,-229.3149636124,-229.3333678753,-229.2796747295,-229.1656633654,-229.6543720646,-229.3276314465,-229.2562643361,-229.3244463557,-229.3270534915,-229.093747528172
01c_water_dimAB_3B-69,-152.9820122852,-152.95324195,-152.8654670961,-152.8983966869,-152.87495459,-152.9223521782,-152.8806128579,-152.8932393342,-152.8568245971,-152.7807188692,-153.1072308613,-152.8893758476,-152.841768821499,-152.8866363653,-152.888294605,-152.732628479459
01c_water_dimAC_3B-69,-152.9812773342,-152.9524341568,-152.8647733971,-152.8975086385,-152.87424985,-152.9216524327,-152.8799340087,-152.892508848,-152.8561811113,-152.7798286432,-153.1065180866,-152.8885804901,-152.8409096401,-152.8859052583,-152.8875560318,-152.731899429257
01c_water_dimBC_3B-69,-152.9818643762,-152.953023577,-152.8653462907,-152.8981155493,-152.87481144,-152.9222374196,-152.8805182361,-152.8931510393,-152.8567282615,-152.7804361365,-153.1071200292,-152.8891877074,-152.8415250505,-152.8865107687,-152.8881455788,-152.732468451043
01c_water_monA_3B-69,-76.4870361386,-76.473153671,-76.4293616756,-76.4450649195,-76.43361076,-76.4570711506,-76.436237832,-76.4426052585,-76.4245510434,-76.386441707,-76.5500141479,-76.4410760473,-76.4166599255,-76.4394159321,-76.4402487334,-76.362374518948
01c_water_monB_3B-69,-76.487125887,-76.4732323071,-76.4294581159,-76.4451514127,-76.43368504,-76.4571622392,-76.436321976,-76.4427002296,-76.4246347267,-76.3865318943,-76.5501129233,-76.4411769239,-76.4167703129,-76.4395008324,-76.4403331338,-76.362457307173
01c_water_monC_3B-69,-76.4872463882,-76.4733182661,-76.4295368147,-76.4452211397,-76.43377104,-76.4572387051,-76.4364083248,-76.4427704739,-76.4246861959,-76.3866329528,-76.55020852,-76.4412928882,-76.4168768709,-76.4395979955,-76.4404250821,-76.362572919763
01c_water_trim_3B-69,-229.4876094239,-229.4430985932,-229.3123875495,-229.3624443975,-229.32720053,-229.3989188873,-229.3364710656,-229.3552314891,-229.3003137264,-229.1852995971,-229.6746196071,-229.3481591547,-229.2779192852,-229.3446507074,-229.3469647505,-229.113429684642
