Reaction,Dataset,Weight
O24_1,O24,0.9789412992
O24_2,O24,1.068906019
O24_3,O24,0.3234812705
O24_4,O24,0.7989936928
O24_5,O24,0.8570946827
O24_6,O24,1.366517956
O24_7,O24,1.032361155
O24_8,O24,0.06157514173
O24_9,O24,0.3641934459
O24_10,O24,1.227860007
O24_11,O24,1.025161161
O24_12,O24,0.3337263582
O24_13,O24,0.0304146666
O24_14,O24,0.005735665622
O24_15,O24,0.04320361675
O24_16,O24,0.1229648344
O24_17,O24,0.2660149623
O24_18,O24,0.03744514563
O24_19,O24,1.866528144
O24_20,O24,1.508991597
O24_21,O24,0.6050121741
O24_22,O24,0.9435901896
O24_23,O24,1.515627691
O24_24,O24,1.305859319
O24x4_1,O24x4,0.2447353248
O24x4_2,O24x4,0.2447353248
O24x4_3,O24x4,0.2447353248
O24x4_4,O24x4,0.2447353248
O24x4_5,O24x4,0.2672265047
O24x4_6,O24x4,0.2672265047
O24x4_7,O24x4,0.2672265047
O24x4_8,O24x4,0.2672265047
O24x4_9,O24x4,0.08087031763
O24x4_10,O24x4,0.08087031763
O24x4_11,O24x4,0.08087031763
O24x4_12,O24x4,0.08087031763
O24x4_13,O24x4,0.1997484232
O24x4_14,O24x4,0.1997484232
O24x4_15,O24x4,0.1997484232
O24x4_16,O24x4,0.1997484232
O24x4_17,O24x4,0.2142736707
O24x4_18,O24x4,0.2142736707
O24x4_19,O24x4,0.2142736707
O24x4_20,O24x4,0.2142736707
O24x4_21,O24x4,0.341629489
O24x4_22,O24x4,0.341629489
O24x4_23,O24x4,0.341629489
O24x4_24,O24x4,0.341629489
O24x4_25,O24x4,0.2580902886
O24x4_26,O24x4,0.2580902886
O24x4_27,O24x4,0.2580902886
O24x4_28,O24x4,0.2580902886
O24x4_29,O24x4,0.01539378543
O24x4_30,O24x4,0.01539378543
O24x4_31,O24x4,0.01539378543
O24x4_32,O24x4,0.01539378543
O24x4_33,O24x4,0.09104836147
O24x4_34,O24x4,0.09104836147
O24x4_35,O24x4,0.09104836147
O24x4_36,O24x4,0.09104836147
O24x4_37,O24x4,0.3069650019
O24x4_38,O24x4,0.3069650019
O24x4_39,O24x4,0.3069650019
O24x4_40,O24x4,0.3069650019
O24x4_41,O24x4,0.2562902902
O24x4_42,O24x4,0.2562902902
O24x4_43,O24x4,0.2562902902
O24x4_44,O24x4,0.2562902902
O24x4_45,O24x4,0.08343158954
O24x4_46,O24x4,0.08343158954
O24x4_47,O24x4,0.08343158954
O24x4_48,O24x4,0.08343158954
O24x4_49,O24x4,0.007603666651
O24x4_50,O24x4,0.007603666651
O24x4_51,O24x4,0.007603666651
O24x4_52,O24x4,0.007603666651
O24x4_53,O24x4,0.001433916405
O24x4_54,O24x4,0.001433916405
O24x4_55,O24x4,0.001433916405
O24x4_56,O24x4,0.001433916405
O24x4_57,O24x4,0.01080090419
O24x4_58,O24x4,0.01080090419
O24x4_59,O24x4,0.01080090419
O24x4_60,O24x4,0.01080090419
O24x4_61,O24x4,0.03074120859
O24x4_62,O24x4,0.03074120859
O24x4_63,O24x4,0.03074120859
O24x4_64,O24x4,0.03074120859
O24x4_65,O24x4,0.06650374059
O24x4_66,O24x4,0.06650374059
O24x4_67,O24x4,0.06650374059
O24x4_68,O24x4,0.06650374059
O24x4_69,O24x4,0.009361286407
O24x4_70,O24x4,0.009361286407
O24x4_71,O24x4,0.009361286407
O24x4_72,O24x4,0.009361286407
O24x4_73,O24x4,0.466632036
O24x4_74,O24x4,0.466632036
O24x4_75,O24x4,0.466632036
O24x4_76,O24x4,0.466632036
O24x4_77,O24x4,0.3772478993
O24x4_78,O24x4,0.3772478993
O24x4_79,O24x4,0.3772478993
O24x4_80,O24x4,0.3772478993
O24x4_81,O24x4,0.1512530435
O24x4_82,O24x4,0.1512530435
O24x4_83,O24x4,0.1512530435
O24x4_84,O24x4,0.1512530435
O24x4_85,O24x4,0.2358975474
O24x4_86,O24x4,0.2358975474
O24x4_87,O24x4,0.2358975474
O24x4_88,O24x4,0.2358975474
O24x4_89,O24x4,0.3789069228
O24x4_90,O24x4,0.3789069228
O24x4_91,O24x4,0.3789069228
O24x4_92,O24x4,0.3789069228
O24x4_93,O24x4,0.3264648297
O24x4_94,O24x4,0.3264648297
O24x4_95,O24x4,0.3264648297
O24x4_96,O24x4,0.3264648297
