Reaction,Dataset,Weight
O24_1,O24,0.9789412992337664
O24_2,O24,1.068906018821192
O24_3,O24,0.3234812705056669
O24_4,O24,0.7989936927523217
O24_5,O24,0.8570946826716632
O24_6,O24,1.366517955841758
O24_7,O24,1.032361154557349
O24_8,O24,0.06157514173053016
O24_9,O24,0.3641934458758299
O24_10,O24,1.227860007461013
O24_11,O24,1.025161160703826
O24_12,O24,0.3337263581505657
O24_13,O24,0.03041466660380857
O24_14,O24,0.005735665621685202
O24_15,O24,0.0432036167478627
O24_16,O24,0.1229648343582478
O24_17,O24,0.2660149623492774
O24_18,O24,0.03744514562706038
O24_19,O24,1.866528143898204
O24_20,O24,1.50899159711014
O24_21,O24,0.6050121741269812
O24_22,O24,0.9435901896227161
O24_23,O24,1.515627691091412
O24_24,O24,1.305859318724453
O24x4_1,O24x4,0.2447353248084416
O24x4_2,O24x4,0.2447353248084416
O24x4_3,O24x4,0.2447353248084416
O24x4_4,O24x4,0.2447353248084416
O24x4_5,O24x4,0.2672265047052981
O24x4_6,O24x4,0.2672265047052981
O24x4_7,O24x4,0.2672265047052981
O24x4_8,O24x4,0.2672265047052981
O24x4_9,O24x4,0.08087031762641674
O24x4_10,O24x4,0.08087031762641674
O24x4_11,O24x4,0.08087031762641674
O24x4_12,O24x4,0.08087031762641674
O24x4_13,O24x4,0.1997484231880804
O24x4_14,O24x4,0.1997484231880804
O24x4_15,O24x4,0.1997484231880804
O24x4_16,O24x4,0.1997484231880804
O24x4_17,O24x4,0.2142736706679158
O24x4_18,O24x4,0.2142736706679158
O24x4_19,O24x4,0.2142736706679158
O24x4_20,O24x4,0.2142736706679158
O24x4_21,O24x4,0.3416294889604396
O24x4_22,O24x4,0.3416294889604396
O24x4_23,O24x4,0.3416294889604396
O24x4_24,O24x4,0.3416294889604396
O24x4_25,O24x4,0.2580902886393374
O24x4_26,O24x4,0.2580902886393374
O24x4_27,O24x4,0.2580902886393374
O24x4_28,O24x4,0.2580902886393374
O24x4_29,O24x4,0.01539378543263254
O24x4_30,O24x4,0.01539378543263254
O24x4_31,O24x4,0.01539378543263254
O24x4_32,O24x4,0.01539378543263254
O24x4_33,O24x4,0.09104836146895746
O24x4_34,O24x4,0.09104836146895746
O24x4_35,O24x4,0.09104836146895746
O24x4_36,O24x4,0.09104836146895746
O24x4_37,O24x4,0.3069650018652532
O24x4_38,O24x4,0.3069650018652532
O24x4_39,O24x4,0.3069650018652532
O24x4_40,O24x4,0.3069650018652532
O24x4_41,O24x4,0.2562902901759565
O24x4_42,O24x4,0.2562902901759565
O24x4_43,O24x4,0.2562902901759565
O24x4_44,O24x4,0.2562902901759565
O24x4_45,O24x4,0.08343158953764142
O24x4_46,O24x4,0.08343158953764142
O24x4_47,O24x4,0.08343158953764142
O24x4_48,O24x4,0.08343158953764142
O24x4_49,O24x4,0.007603666650952142
O24x4_50,O24x4,0.007603666650952142
O24x4_51,O24x4,0.007603666650952142
O24x4_52,O24x4,0.007603666650952142
O24x4_53,O24x4,0.0014339164054213
O24x4_54,O24x4,0.0014339164054213
O24x4_55,O24x4,0.0014339164054213
O24x4_56,O24x4,0.0014339164054213
O24x4_57,O24x4,0.01080090418696567
O24x4_58,O24x4,0.01080090418696567
O24x4_59,O24x4,0.01080090418696567
O24x4_60,O24x4,0.01080090418696567
O24x4_61,O24x4,0.03074120858956195
O24x4_62,O24x4,0.03074120858956195
O24x4_63,O24x4,0.03074120858956195
O24x4_64,O24x4,0.03074120858956195
O24x4_65,O24x4,0.06650374058731935
O24x4_66,O24x4,0.06650374058731935
O24x4_67,O24x4,0.06650374058731935
O24x4_68,O24x4,0.06650374058731935
O24x4_69,O24x4,0.009361286406765095
O24x4_70,O24x4,0.009361286406765095
O24x4_71,O24x4,0.009361286406765095
O24x4_72,O24x4,0.009361286406765095
O24x4_73,O24x4,0.4666320359745511
O24x4_74,O24x4,0.4666320359745511
O24x4_75,O24x4,0.4666320359745511
O24x4_76,O24x4,0.4666320359745511
O24x4_77,O24x4,0.377247899277535
O24x4_78,O24x4,0.377247899277535
O24x4_79,O24x4,0.377247899277535
O24x4_80,O24x4,0.377247899277535
O24x4_81,O24x4,0.1512530435317453
O24x4_82,O24x4,0.1512530435317453
O24x4_83,O24x4,0.1512530435317453
O24x4_84,O24x4,0.1512530435317453
O24x4_85,O24x4,0.235897547405679
O24x4_86,O24x4,0.235897547405679
O24x4_87,O24x4,0.235897547405679
O24x4_88,O24x4,0.235897547405679
O24x4_89,O24x4,0.3789069227728529
O24x4_90,O24x4,0.3789069227728529
O24x4_91,O24x4,0.3789069227728529
O24x4_92,O24x4,0.3789069227728529
O24x4_93,O24x4,0.3264648296811133
O24x4_94,O24x4,0.3264648296811133
O24x4_95,O24x4,0.3264648296811133
O24x4_96,O24x4,0.3264648296811133
