Reaction,Dataset,Weight
TMD10_1,TMD10,0.037155
TMD10_2,TMD10,0.140992
TMD10_3,TMD10,0.0669843
TMD10_4,TMD10,0.0434399
TMD10_5,TMD10,0.1446704
TMD10_6,TMD10,0.0457048
TMD10_7,TMD10,0.0628946
TMD10_8,TMD10,0.1856838
TMD10_9,TMD10,0.0552455
TMD10_10,TMD10,0.0832721
TMD10_residule,TMD10,2.3309334
MOR13_1,MOR13,0.1455295
MOR13_2,MOR13,0.0272714
MOR13_3,MOR13,0.1209988
MOR13_4,MOR13,0.0647332
MOR13_5,MOR13,0.0603818
MOR13_6,MOR13,0.0838529
MOR13_7,MOR13,0.214621
MOR13_8,MOR13,0.0604527
MOR13_9,MOR13,0.0955918
MOR13_10,MOR13,0.0693952
MOR13_11,MOR13,0.0380468
MOR13_12,MOR13,0.0357797
MOR13_13,MOR13,0.0151755
MOR13_residule,MOR13,0.2417767
TMB11_1,TMB11,0.0877798
TMB11_2,TMB11,0.0450308
TMB11_3,TMB11,0.069258
TMB11_4,TMB11,0.0576931
TMB11_5,TMB11,0.1444151
TMB11_6,TMB11,0.02196
TMB11_7,TMB11,0.0673713
TMB11_8,TMB11,0.1223129
TMB11_9,TMB11,0.1631231
TMB11_10,TMB11,0.0650399
TMB11_11,TMB11,0.0910995
TMB11_residule,TMB11,0.23812677
