Name,Set,Datatype,Number,Weight
A24,Train,NCED,24,
DS14,Train,NCED,14,
HB15,Train,NCED,15,
HSG,Train,NCED,21,
NBC10,Train,NCED,184,
S22,Train,NCED,22,
X40,Train,NCED,31,
H2O6Bind8,Train,NCEC,8,
HW6Cl,Train,NCEC,6,
HW6F,Train,NCEC,6,
,,,331,
A21x12,PriTest,NCED,252,
BzDC215,PriTest,NCED,215,
HW30,PriTest,NCED,30,
NC15,PriTest,NCED,15,
S66,PriTest,NCED,66,
S66x8,PriTest,NCED,528,
FmH2O10,PriTest,NCEC,10,
Shields38,PriTest,NCEC,38,
SW49Bind345,PriTest,NCEC,31,
SW49Bind6,PriTest,NCEC,18,
WATER27,PriTest,NCEC,23,
3B-69-DIM,SecTest,NCED,207,
AlkBind12,SecTest,NCED,12,
CO2Nitrogen16,SecTest,NCED,16,
HB49,SecTest,NCED,49,
Ionic43,SecTest,NCED,43,
3B-69-TRIM,SecTest,NCEC,69,
CE20,SecTest,NCEC,20,
H2O20Bind10,SecTest,NCEC,10,
H2O20Bind4,SecTest,NCEC,4,
,,,,
TA13,Train,NCD,13,
XB18,Train,NCD,8,
Bauza30,PriTest,NCD,30,
CT20,PriTest,NCD,20,
XB51,PriTest,NCD,20,
,,,21,
AlkIsomer11,Train,IE,11,
Butanediol65,Train,IE,65,
ACONF,PriTest,IE,15,
CYCONF,PriTest,IE,11,
Pentane14,PriTest,IE,14,
SW49Rel345,PriTest,IE,31,
SW49Rel6,PriTest,IE,18,
H2O16Rel5,SecTest,IE,5,
H2O20Rel10,SecTest,IE,10,
H2O20Rel4,SecTest,IE,4,
Melatonin52,SecTest,IE,52,
YMPJ519,SecTest,IE,519,
,,,76,
EIE22,Train,ID,22,
Styrene45,Train,ID,45,
DIE60,PriTest,ID,60,
ISOMERIZATION20,PriTest,ID,20,
C20C24,SecTest,ID,8,
,,,67,
AlkAtom19,Train,TCE,19,
BDE99nonMR,Train,TCE,83,
G21EA,Train,TCE,25,
G21IP,Train,TCE,36,
TAE140nonMR,Train,TCE,124,
,,,287,
AlkIsod14,PriTest,TCE,14,
BH76RC,PriTest,TCE,30,
EA13,PriTest,TCE,13,
HAT707nonMR,PriTest,TCE,505,
IP13,PriTest,TCE,13,
NBPRC,PriTest,TCE,12,
SN13,PriTest,TCE,13,
BSR36,SecTest,TCE,36,
HNBrBDE18,SecTest,TCE,18,
WCPT6,SecTest,TCE,6,
BDE99MR,PriTest,TCD,16,
HAT707MR,PriTest,TCD,202,
TAE140MR,PriTest,TCD,16,
PlatonicHD6,SecTest,TCD,6,
PlatonicID6,SecTest,TCD,6,
PlatonicIG6,SecTest,TCD,6,
PlatonicTAE6,SecTest,TCD,6,
,,,,
BHPERI26,Train,BH,26,
CRBH20,Train,BH,20,
DBH24,Train,BH,24,
CR20,PriTest,BH,20,
HTBH38,PriTest,BH,38,
NHTBH38,PriTest,BH,38,
PX13,SecTest,BH,13,
WCPT27,SecTest,BH,27,
,,,70,
AE18,Train,–,18,
RG10,PriTest,–,569,
