Name,Datatype_Short,Datatype,Description,Theory level,#datapoints,RMS energy(kcal/mol),min,max,year for last update,MGCDB84,GMTKN55,Error(kcal/mol)
BH28,BH,Barrier Height,"Highly accurate subset chosen from BHPERI, CRBH20, BHDIV10, and PX13 sets",W3lite-F12,28,35.18 ,0.72 ,65.56 ,2019,,,0.22 on DBH24
BH46,BH,Barrier Height,"Barrier heights of hydrogen transfer, heavy atom transfer, nucleophilic substitution, unimolecular and association reactions. This set comprises the remaining data points from BH76 after excluding those included in DBH22.",W2-F12,46,25.21 ,-12.30 ,104.80 ,2017,"HTBH38, NHTBH38",BH76,
BH876,BH,Barrier Height,Comprehensive reaction barrier heights,HF/a[TQ]Z+MP2/a[TQ]Z+DLPNO-CCSD(T) /aTZ/tight,876,27.00 ,-96.26 ,144.39 ,2022,,,
BHDIV7,BH,Barrier Height,Diverse reaction barrier heights,"W1-F12,W2-F12",7,48.77 ,13.64 ,96.17 ,2017,,BHDIV10,
BHPERI11,BH,Barrier Height,Barrier heights of pericyclic reactions,"W1-F12,W2-F12",11,23.00 ,14.50 ,31.30 ,2015,BHPERI26 ,BHPERI,
BHROT27,BH,Barrier Height,Barrier heights for rotation around single bonds,"W1-F12,W2-F12",27,8.06 ,1.01 ,17.24 ,2017,,BHROT27,
CRBH14,BH,Barrier Height,Barrier heights for cycloreversion of heterocyclic rings ,W1-F12 and W1w,14,45.85 ,33.71 ,52.42 ,2015,CRBH20 ,,
DBH22,BH,Barrier Height,Highly accurate subset of BH76 ,W4,22,29.22 ,-2.40 ,82.14 ,2008,DBH24 ,,
INV23,BH,Barrier Height,Inversion/Racemization barrier heights,"W1-F12,W2-F12, DLPNO-CCSD(T)/TightPNO/CBS(def2-[TQ]ZVPP)",23,36.57 ,4.10 ,74.20 ,2017,,INV24,
ORBH35,BH,Barrier Height,"Difficult barrier heights for oxygen reactions (e.g., vinylperoxy radical and CO3)",W3X-L,35,32.86 ,-0.96 ,76.69 ,2018,,,
PX9,BH,Barrier Height,"Proton-exchange barriers in H2O, NH3, and HF clusters",W1-F12,9,38.87 ,16.60 ,59.30 ,2012,PX13,PX13,
WCPT26,BH,Barrier Height,Barrier heights of water-catalyzed proton-transfer reactions,"W2.2, W1",26,36.11 ,-6.38 ,70.10 ,2012,WCPT27,WCPT18,
