Name,Datatype_Short,Old1,Old2,Settype2683,Settype2186
BH28,BH,Train,Train,Train,Train
BH76,BH,Train,Train,Train,Train
BH9,BH,Validation/Test,Validation/Test,Train/Validation,Train/Validation
BHDIV10,BH,Validation,Validation,Validation,Validation
BHPERI,BH,Validation,Validation,Train,Train
BHROT27,BH,Test,Test,Train,Train
CRBH20,BH,Validation,Validation,Validation,Validation
DBH24,BH,Train,Train,Train,Train
INV24,BH,Validation,Validation,Validation,Validation
ORBH36,BH,Validation,Validation,Validation,Validation
PX13,BH,Test,Test,Validation,Validation
WCPT27,BH,Test,Test,Validation,Validation
Dip152,EF,Train/Validation,Train/Validation,Train/Validation,Train/Validation
HR46,EF,Validation,Validation,Train/Validation,Train/Validation
OEEF,EF,Train/Validation,Train/Validation,Train/Validation,Train/Validation
Pol132,EF,Train,Train,Train/Validation,Train/Validation
T144,EF,Test,Test,Validation,Validation
V30,frequency,Train/Validation,Train/Validation,Validation,Validation
P34,Heavy,Validation,Validation,Validation,Validation
A19Rel6,I,Validation,Validation,Train,Train
ACONF,I,Validation,Validation,Validation,Validation
AlkIsomer11,I,Train,Train,Train,Train
Amino20x4,I,Test,Test,Validation,Validation
BUT14DIOL,I,Train,Train,Train,Train
C20C24,I,Test,Test,Test,Test
C60ISO,I,Validation,Validation,Validation,Validation
DIE60,I,Validation,Validation,Validation,Validation
EIE22,I,Train,Train,Train,Train
H2O16Rel5,I,Test,Test,Train,Train
H2O20Rel10,I,Test,Test,Validation,Validation
ICONF,I,Test,Test,Train,Train
IDISP,I,Test,Test,Validation,Validation
ISO34,I,Test,Test,Validation,Validation
ISOL24,I,Test,Test,Validation,Validation
ISOMERIZATION20,I,Train,Train,Train,Train
MCONF,I,Test,Test,Validation,Validation
PArel,I,Test,Test,Validation,Validation
PCONF21,I,Validation,Validation,Validation,Validation
Pentane14,I,Validation,Validation,Validation,Validation
S66Rel7,I,Validation,Validation,Validation,Validation
SCONF,I,Test,Test,Validation,Validation
Styrene45,I,Train,Train,Train,Validation
SW49Rel345,I,Validation,Validation,Validation,Validation
UPU23,I,Test,Test,Validation,Validation
3B-69,NC,Test,Test,Validation,Validation
3BHET,NC,Train,Train,Train,Train
A24,NC,Train,Train,Train,Train
ADIM6,NC,Test,Test,Validation,Validation
AHB21,NC,Validation,Validation,Train,Train
Bauza30,NC,Validation,Validation,Train,Train
BzDC215,NC,Validation,Validation,Validation,Validation
CARBHB12,NC,Test,Test,Validation,Validation
CHB6,NC,Validation,Validation,Validation,Validation
CT20,NC,Validation,Validation,Validation,Validation
DS14,NC,Train,Train,Train,Validation
FmH2O10,NC,Validation,Validation,Validation,Validation
H2O20Bind10,NC,Test,Test,Test,Test
H2O6Bind8,NC,Train,Train,Train,Train
HB49,NC,Test,Test,Validation,Validation
HCP32,NC,Test,Test,Validation,Validation
He3,NC,Validation,Validation,Validation,Validation
HEAVY28,NC,Test,Test,Validation,Validation
HSG,NC,Train,Train,Train,Train
HW30,NC,Validation,Validation,Train,Validation
HW6Cl,NC,Train,Train,Train,Train
HW6F,NC,Train,Train,Train,Train
IHB100,NC,Train,Train,Train,Validation
IHB100x2,NC,Train,Train,Train,Train
IL16,NC,Validation,Validation,Train,Train
NBC10,NC,Train,Train,Train,Train/Validation
NC15,NC,Validation,Validation,Validation,Validation
O24,NC,Validation,Validation,Train,Train
O24x4,NC,Validation,Validation,Validation,Validation
PNICO23,NC,Test,Test,Validation,Validation
RG10,NC,Test,Validation,Train/Validation,Train/Validation
RG18,NC,Train,Test,Validation,Validation
S22,NC,Validation,Train,Train,Train
S66,NC,Validation,Validation,Validation,Validation
Shields38,NC,Validation,Validation,Validation,Train
SW49Bind345,NC,Train,Validation,Validation,Validation
TA13,NC,Validation,Train,Train,Train
WATER27,NC,Train,Validation,Train,Validation
X40,NC,Train,Train,Train,Validation
X40x5,NC,Train,Train,Train/Validation,Train/Validation
XB18,NC,Validation,Train,Validation,Validation
XB51,NC,Validation,Validation,Validation,Validation
AE11,TC,Train,Train,Validation,Validation
AE18,TC,Train,Train,Train,Train
AL2X6,TC,Validation,Validation,Validation,Validation
ALK8,TC,Test,Test,Train,Train
AlkAtom19,TC,Train,Train,Train,Train
ALKBDE10,TC,Validation,Validation,Validation,Validation
AlkIsod14,TC,Validation,Validation,Validation,Validation
BDE99MR,TC,Validation,Validation,Validation,Validation
BDE99nonMR,TC,Train,Train,Train,Train
BH76RC,TC,Validation,Validation,Validation,Validation
BSR36,TC,Validation,Validation,Train,Train
CR20,TC,Test,Test,Train,Train
DARC,TC,Test,Test,Validation,Validation
DC13,TC,Test,Test,Validation,Validation
DIPCS10,TC,Validation,Validation,Validation,Validation
EA52,TC,Validation,Validation,Validation,Validation
FH51,TC,Test,Test,Validation,Validation
G21EA,TC,Train,Train,Train,Train
G21IP,TC,Train,Train,Train,Train
G2RC,TC,Test,Test,Validation,Validation
HAT707MR,TC,Validation,Validation,Validation,Validation
HAT707nonMR,TC,Validation,Validation,Validation,Validation
HEAVYSB11,TC,Test,Test,Validation,Validation
HNBrBDE18,TC,Test,Test,Validation,Validation
IP23,TC,Validation,Validation,Validation,Validation
IP30,TC,Validation,Validation,Validation,Validation
MB08-165,TC,Test,Test,Validation,Validation
MB16-43,TC,Validation,Validation,Validation,Validation
MX35,TC,Validation,Validation,Validation,Validation
NBPRC,TC,Validation,Validation,Validation,Validation
PA26,TC,Test,Test,Validation,Validation
PlatonicHD6,TC,Test,Test,Validation,Validation
PlatonicID6,TC,Test,Test,Train,Train
PlatonicIG6,TC,Test,Test,Validation,Validation
PlatonicTAE6,TC,Test,Test,Validation,Validation
RC21,TC,Train,Train,Train,Train
RSE43,TC,Validation,Validation,Train,Train
SIE4x4,TC,Test,Test,Validation,Validation
SN13,TC,Validation,Validation,Train,Train
TAE_W4-17MR,TC,Validation,Validation,Validation,Validation
TAE_W4-17nonMR,TC,Train,Train,Train,Train
TAUT15,TC,Test,Test,Validation,Validation
WCPT6,TC,Test,Test,Train,Train
YBDE18,TC,Train,Train,Train,Train
3d4dIPSS,TM,Train,Train,Train,Train
CUAGAU,TM,Train/Validation,Train/Validation,Train/Validation,Train/Validation
CUAGAU2,TM,Validation/Test,Validation/Test,Validation,Validation
DAPD,TM,Validation,Validation,Validation,Validation
MME55,TM,Test,Test,Validation,Validation
MOBH28,TM,Train/Validation/Test,Train/Validation/Test,Train/Validation,Train/Validation
ROST61,TM,Train/Validation/Test,Train/Validation/Test,Train/Validation,Train/Validation
TMC34,TM,Train,Train,Train,Train
