Name,Paper,Reason,,,,,,,,,,,,,,,,
Water solved glycine ,"Phys. Chem. Chem. Phys., 2020,22, 3855-3866","1.For small cluster, we have had enough water data points. 
2. wB97M-V good enough for this data set
3. For big cluster, the method DLPNO-CCSD(T)/cc-pV[DT]Z is not accurate enough",DLPNO-CCSD(T)/cc-pV[DT]Z,,,,,,,,,,,,,,,
C–F bond dissociation energies,"J. Phys. Chem. A 2023, 127, 38, 7943–7953",wB97M-V good enough for this data set,TightPNO-DLPNO-CCSD(T0)/aug-cc-pV[TQ]Z,,,,,,,,,,,,,,,
"W1X-quality Heats of Formation for a Large Set of C, H, N, and O Species in the NIST Chemistry Webbook","J. Phys. Chem. A 2022, 126, 30, 4981–4990",wB97M-V good enough for this data set,,,,,,,,,,,,,,,,
BH2O-36,"J. Chem. Theory Comput. 2023, 19, 3159",wB97M-V good enough for this data set,HF/def2-[TQ]ZVPP+MP2/def2-[TQ]ZVPP+CCSD(T)/def2-TZVP,,,,,,,,,,,,,,,
B–F Bond Dissociation,"Molecules 2023, 28(15), 5707",wB97M-V good enough for this data set,,,,,,,,,,,,,,,,
BCl25BDE ,"Mongolian Journal of Chemistry, 23(49), 9–18. ",wB97 good enough for this data set,W1w ,,,,,,,,,,,,,,,
SNCIAA,"J. Chem. Phys. 158, 094301 (2023)",wB97M-V good enough for this data set,,,,,,,,,,,,,,,,
Barrier Heights for Diels−Alder,"J. Phys. Chem. Lett. 2023, 14, 6522",wB97M-V good enough for this data set,DLPNO–CCSD(T)/maug-cc-pCV[TQ]Z,,,,,,,,,,,,,,,
Atlas,,wB97M-V good enough for this data set,MP2/[Q5]Z+CCSD(T) /haTZ (or haDZ),,,,,,,,,,,,,,,
Carbo31 and 33,"Phys. Chem. Chem. Phys., 2023, 25, 1903
J. Chem. Theory Comput. 2022, 18, 1, 167",wB97M-V good enough for Carbo31 data set,DLPNO-CCSD(T)/a[DTQ]Z and W1-F12,,,,,,,,,,,,,,,
ArBDE14,Chemical Physics 531 (2020) 110676,,W1,,,,,,,,,,,,,,,
S66a8,"J. Chem. Theory Comput. 2011, 7, 11, 3466–3470",not accurate enough,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ,,,,,,,,,,,,,,,
C6X-C2Xn,Chemical Physics 493 (2017) 12–19,wB97M-V good enough for dispersion,W1-F12 and MP2/[TQ]Z+(T) /(T+d)Z,,,,,,,,,,,,,,,
Ionized (H2O)n+,"Int. J. Quantum Chem. 120, e26100 (2020)",wB97M-V good enough for water clusters and ionized hydrogen bonds,CCSD(T)/a[TQ]Z,,,,,,,,,,,,,,,
Fluxional4,"Phys. Chem. Chem. Phys., 2021, 23, 10888",only 4 data points,W3lite-F12,,,,,,,,,,,,,,,
BH9,"J. Chem. Theory Comput. 2022, 18, 1, 151",Too much data (898),HF/a[TQ]Z+MP2/a[TQ]Z+DLPNO-CCSD(T) /aTZ/tight,,,,,,,,,,,,,,,
NENCI-2021,Non-equilibirum non-covalent interaction energies,Too much data (~8000),HF/QZ+MP2/[TQ]Z+CCSD(T) /haTZ,,,,,,,,,,,,,,,
Atlas,,Too much data (>10000),MP2/[Q5]Z+CCSD(T) /haTZ (or haDZ),,,,,,,,,,,,,,,
CHAL336,"J. Chem. Theory Comput. 2021, 17, 5, 2783–2806",Too much data (336),"W1-F12, DLPNO-CCSD(T)/aug-cc-pwCV[TQ]Z",,,,,,,,,,,,,,,
L7,"J. Phys. Chem. A 2022, 126, 4326-4341",The reference energies have inconsistency between DLPNO-CCSD(T) and MC,HF+MP2 +DLPNO-CCSD(T)/ha[DT]Z,,,,,,,,,,,,,,,
ENZYMES28,"J. Phys. Chem. A 2019, 123, 32, 7057–7074",wB97M-V good enough for this data set,DLPNO-CCSD(T)/aug-cc-pwCV[TQ]Z,,,,,,,,,,,,,,,
H2Bind275,"J. Chem. Theory Comput. 2020, 16, 4963−4982",wB97M-V good enough for this data set,HF/5Z+MP2/[Q5]Z+CCSD(T) /aTZ+core/TZ,,,,,,,,,,,,,,,
BHs of Re-Catalyzed Organic Reactions ,"J. Chem. Theory Comput. 2014, 10, 2, 579",DZ is too small,CCSD(T)-F12b/ADZ,,,,,,,,,,,,,,,
Acidic Zeolite,"J. Phys. Chem. Lett. 2020, 11, 11, 4305–4310",DZ is too small,DLPNO–CCSD(T)/DZ+ others,,,,,,,,,,,,,,,
Hydrated Transition Metal Ions,"J. Chem. Theory Comput. 2022, 18, 3, 1619",DK is used to include relativistic effect, DLPNO-CCSD(T1)/TightPNO/cc-pwCVTZ-DK,,,,,,,,,,,,,,,
3d IP EA; 4d IP,,DK is used to include relativistic effect,,,,,,,,,,,,,,,,
"IPs for MO3 and MO2 for M = U, Mo, W, and Nd","J. Phys. Chem. A 2020, 124, 34, 6913",DK is used to include relativistic effect,,,,,,,,,,,,,,,,
NO2 with Groups IV and VI,"J. Phys. Chem. A 2020, 124, 44, 9222",only ΔH298K reported,,,,,,,,,,,,,,,,
"MO2, MO3, and M2O5 for M = V, Nb, Ta, Pa","Phys. Chem. Chem. Phys., 2023, 25, 8355",DK is used to include relativistic effect,,,,,,,,,,,,,,,,
Pericyclic5,"Phys. Chem. Chem. Phys., 2022, 24, 18028-18042","too few data (5), some overlap with BH28 ",HF/ha[TQ5]Z+MP2/ha[Q5]Z+ CCSD(T)/ha[TQ]Z+T/DZ+ (Q) /DZ+ core/cc-pCVTZ,,,,,,,,,,,,,,,
S22(3),"J. Phys. Chem. A 2019, 123, 39, 8406–8416","Only provide dispersion interaction energies (CCSD(T) - HF), instead of interaction energies",HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ,,,,,,,,,,,,,,,
Band gaps of 25 simple solids,"J. Chem. Theory Comput. 2022, 18, 7336",Do not know how to calculate,experimental,,,,,,,,,,,,,,,
"Normalized clustering energies (NCEs) of group IVB (MO2)n (M = Ti, Zr, Hf) and VIB (MO3)n (M = Cr, Mo, W)","J. Phys. Chem. A 2009, 113, 27, 7861",Lazy to summarize these data sets by David A. Dixon,CCSD(T)/aTZ,,,,,,,,,,,,,,,
"hemisorption addition of CO2 to M3O6 and M3O6– for M = Ti, Zr, and Hf ","J. Phys. Chem. A 2020, 124, 26, 5402","Additionally, it is hard to find the reference data",CCSD(T)/aTZ,,,,,,,,,,,,,,,
"Metal Carbonates and Bicarbonates and Their Hydrates for Mg, Ca, Fe, and Cd","J. Phys. Chem. A 2020, 124, 9, 1829",,CCSD(T)/a[DTQ]Z,,,,,,,,,,,,,,,
"Carbonates and Bicarbonates of Mn, Co, Ni, Cu, and Zn","J. Phys. Chem. A 2022, 126, 43, 7874",,,,,,,,,,,,,,,,,
Binding energy of SO3 to Group 4 ,"J. Phys. Chem. A 2023, 127, 45, 9541",,"CCSD(T)/a[DTQ]Z for monomer addition, aDZ for others",,,,,,,,,,,,,,,
"MO2, MO3, and M2O5 for M = V, Nb, Ta, Pa",,,,,,,,,,,,,,,,,,
IP and BDEs of Zr meteal,J Comput Chem.2023;44:506,too few data,"CCSD(T)/aug-cc-pwCVQZ-PP for IP, PNO-CCSD(T)/def2-TZVP//TPSS/6-31G**[LANL2DZ] for BDE",,,,,,,,,,,,,,,
adiabatic ionization energies of metallocenes,"Phys. Chem. Chem. Phys., 2023, 25, 4570","too few data(6), DK is used",DLPNO–CCSD(T)/[TQ]Z-DK,,,,,,,,,,,,,,,
BDEs for the 60 Metal–Oxygen Interactions,"J. Phys. Chem. C 2019, 123, 30, 18432",Overlap with TMC34? Can be used if wanted,CCSD(T)/def2-QZVPP,,,,,,,,,,,,,,,
TMD18,all-electron CCSD(T)/awCV[TQ5]Z + T/[TQ]Z + Q/TZ + P/DZ,18 no bond length,,,,,"bond energies for the borides, sulphides, and carbides of Sc, Ti, V, Y, Zr, Nb
no strunctures",2021,,,"Molecular Physics, Volume 119, 2021, e1963001",,,,,,,
MOR41,DLPNO-CCSD(T)/def2-[TQ]ZVPP,41,,,,2,Reaction energies of 41 closed-shell organometallic reactions,2018,def2-QZVPP,,"J. Chem. Theory Comput. 2018, 14, 2596−2608",,,,,,,
