Name,Description,#,RMS energy(kcal/mol),Ref value Resource,Ref original paper
BH28,"Highly accurate set chosen from BHPERI, CRBH20, BHDIV10, and PX13 set",28,35.1841771849604,"J. Phys. Chem. A 2019, 123, 31, 6720–6732",
BH76,"Barrier heights of hydrogen transfer, heavy atom transfer, nucleophilic substitution, unimolecular and association reactions",52,25.1396635811785,GMTKN55,
BH9,Comprehensive reaction barrier heights,898,26.801567024839,"J. Chem. Theory Comput. 2022, 18, 1, 151",
BHDIV10,Diverse reaction barrier heights,7,48.7746943925477,GMTKN55,
BHPERI,Barrier heights of pericyclic reactions,11,23.0043252508954,"J. Comput. Chem., 2015, 36, 622",
BHROT27,Barrier heights for rotation around single bonds,27,8.06240920523212,GMTKN55,
CRBH20,Barrier heights for cycloreversion of heterocyclic rings ,14,45.8495196891599,"Chem. Phys. 458, 1–8 (2015)",
DBH24,Highly accurate subset of BH76 ,24,28.3417391851001,"J. Phys. Chem. A 2008, 112, 50, 12868–12886","J. Chem. Theory Comput. 2007, 3, 2, 569–582"
INV24,Inversion/racemisation barrier heights,24,39.3265315905201,"Can. J. Chem., 2016, 94 , 1133 —1143",
ORBH36,"Barrier heights for oxygen reactions (e.g., vinylperoxy radical and CO3)",36,32.6347860979733,"Phys. Chem. Chem. Phys., 2018, 20, 10732-10740",
PX13,"Proton-exchange barriers in H2O, NH3, and HF clusters",9,38.8694118833131,"J. Chem. Theory Comput. 2012, 8, 9, 3128–3136",
WCPT27,Barrier heights of water-catalyzed proton-transfer reactions,27,38.7338360991744,"J. Phys. Chem. A 2012, 116, 16, 4211–4221",
Dip152,Dipole moments (including individual components) for 152 small systems at equilibrium,192,0.120941856653155,"J. Chem. Theory Comput. 2018, 14, 1969",
HR46,Static polarizabilities (including individual components) for 46 systems at equilibrium,138,0.45827059487956,"J. Chem. Theory Comput. 2023, 19, 3112−3122",
OEEF,Relative energies in oriented external electric fields compared to zero field,173,17.0811344084455,"J. Chem. Phys. 159, 124111 (2023)",
Pol132,Static polarizabilities (including individual components) for 132 small systems at equilibrium,376,1.7498096058139,"Phys. Chem. Chem. Phys., 2018, 20, 19800--19810",
T144,Static polarizabilities (including individual components) for 144 systems at equilibrium,432,0.687234530307296,"J. Chem. Theory Comput. 2023, 19, 3112−3122",
V30,"Frequencies of molecular dimers with different polarity combinations (polar-polar, polar-nonpolar, and nonpolar-nonpolar).",327,0.000570209047170236,,
A19Rel6,Relative energies of 19 complexes from the A24 set on potential energy curves (PECs),114,1.64879167062418,"J. Chem. Theory Comput. 2015, 11, 4, 1481–1492",
ACONF,Isomerization energies of alkane conformers ,15,2.23280707213216,"J. Phys. Chem. A 2009, 113, 43, 11974–11983",
AlkIsomer11,Isomerization energies of alkanes with 4-8 carbon atoms.,11,1.80971368967574,"J. Phys. Chem. A 2009, 113, 29, 8434–8447",
Amino20x4,Isomerization energies of amino acid conformers,80,2.97975006810852,"J. Chem. Theory Comput. 2016, 12, 1, 444–454",
BUT14DIOL,"Isomerization energies of butane-1,4-diol conformers",64,2.91127069733273,GMTKN55,
C20C24,Isomerization energies of C20 and C24 ,6,41.544779543619,"J. Phys. Chem. A 2016, 120, 1, 153–160",
C60ISO,Isomerization energies of C60 isomers,9,107.215688463213,"Phys. Chem. Chem. Phys., 2017, 19, 14296",
DIE60,Isomerization energies for double-bond migration in conjugated dienes,60,5.05876195078565,"Chem. Phys. 441, 166–177 (2014)",
EIE22,Isomerization energies of enecarbonyls ,22,4.96983554503256,"Mol. Phys. 113, 1284–1296 (2015)",
H2O16Rel5,Isomerization energies of (H2O)16 (boat and fused cube structures) ,4,0.446416446204382,"J. Phys. Chem. Lett. 2010, 1, 20, 3122–3127",
H2O20Rel10,Isomerization energies of (H2O)20 (low-energy structures) ,9,2.75899925099547,"J. Phys. Chem. A 2015, 119, 2, 235–252",
ICONF,Isomerization energies in conformers of inorganic systems,17,4.54055466449991,GMTKN55,
IDISP,Intramolecular dispersion interactions,6,25.228198346573,GMTKN55,
ISO34,Isomerisation energies of small- and medium-sized organic molecules,34,20.296785173313,GMTKN55,
ISOL24,Isomerisation energies of large organic molecules,24,28.4510666365303,"J. Chem. Theory Comput. 2023, 19, 20, 7007","Phys. Chem. Chem. Phys., 2010, 12, 6940"
ISOMERIZATION20,Isomerization energies from the W4-11 dataset,20,44.0479243152558,W4-11,
MCONF,Isomerization energies of melatonin conformers,51,5.35522656654401,GMTKN55,
PArel,Isomerization energies of protonated isomers,20,6.2348835965298,GMTKN55,
PCONF21,Isomerization energies of tri- and tetrapeptide conformers,18,1.78857149930934,GMTKN55,
Pentane14,Isomerization energies of stationary points on the n-pentane torsional surface ,13,6.75029292814127,"J. Phys. Chem. A 2013, 117, 14, 3118–3132",
S66Rel7,Relative energies of 66 complexes from the S66 set on PECs,462,2.74328795731867,"Phys. Chem. Chem. Phys., 2022, 24, 25555-25570",
SCONF,Isomerization energies of sugar conformers,17,4.96349991286015,GMTKN55,
Styrene45,Isomerization energies of C8H8 ,44,69.4659248261556,"Mol. Phys. 110, 2477–2491 (2012)",
SW49Rel345,Isomerization energies of SO42-(H2O)n (n = 3-5) ,28,1.54881192011179,"J. Chem. Theory Comput. 2013, 9, 3, 1368–1380",
TAUT15,Isomerization energies of tautomers,15,4.52337891905405,GMTKN55,
UPU23,Isomerization energies of RNA-backbone conformers ,23,6.51518586386413,"J. Chem. Theory Comput. 2015, 11, 10, 4972–4991",
3B-69,3-Body non-additive interaction energies in three different orientations of 23 distinct molecular crystals ,69,0.686841330879481," J. Chem. Theory Comput. 2015, 11, 7, 3065–3079",
3BHET,3-Body non-additive interaction energies in molecular trimers,20,2.00514889370533,"Phys. Chem. Chem. Phys., 2023, 25, 28621-28637",
A24,Binding energies of small non-covalent complexes ,24,2.65059287387282,"Phys. Chem. Chem. Phys., 2015,17, 19268-19277","J. Chem. Theory Comput. 2013, 9, 5, 2151–2155"
ADIM6,Interaction energies of n-alkane dimers,6,3.65966356464281,GMTKN55,
AHB21,Interaction energies in anion-neutral dimers ,21,26.1748569114544,"J. Chem. Theory Comput. 2015, 11, 6, 2473–2486",
Bauza30,"Binding energies of halogen-, chalcogen-, and pnicogen-bonded dimers ",30,23.6490735638718,"J. Chem. Theory Comput. 2014, 10, 12, 5436–5447","J. Chem. Theory Comput. 2013, 9, 11, 5201–5210"
BzDC215,PECs for benzene interacting with two rare-gas atoms and eight first- and second-row hydrides ,215,1.8097302023444,"J. Phys. Chem. A 2009, 113, 8, 1663–1669",
CARBHB12,"Binding energies of hydrogen-bonded complexes between carbene analogues and H2O, NH3, or HCl ",12,7.36882269959524,GMTKN55,
CHB6,Interaction energies in cation-neutral dimers ,6,27.8452411801269,"J. Chem. Theory Comput. 2015, 11, 6, 2473–2486",
CT20,Binding energies of charge-transfer complexes ,20,1.0731308889271,"J. Chem. Theory Comput. 2012, 8, 5, 1629–1640",
DS14,Binding energies of complexes containing divalent sulfur,14,3.7036389838281,"J. Phys. Chem. A 116, 1086–1092 (2012)",
FmH2O10,Binding energies of isomers of F-(H2O)10 ,10,168.496235175413,"J. Phys. Chem. A 2015, 119, 2, 235–252",
H2O20Bind10,Binding energies of isomers of (H2O)20 (low-energy structures) ,10,198.163997475433,"J. Phys. Chem. A 2015, 119, 2, 235–252",
H2O6Bind8,Binding energies of isomers of (H2O)6 ,8,46.9608481467011,"J. Phys. Chem. A 2015, 119, 2, 235–252",
HB49,Binding energies of small- and medium-sized hydrogen-bonded systems ,49,14.1245197488757,"Mol. Phys. 113, 1618–1629 (2015)",
HCP32,"Binding energies of halogen-, chalcogen-, and pnicogen-bonded dimers ",32,4.39372246823507,"J. Phys. Chem. A 2017, 121, 49, 9544–9556",
He3,3-Body non-additive interaction energies in helium trimers,56,8.38893182559066,"Phys. Chem. Chem. Phys., 2023, 25, 23395",
HEAVY28,Binding energies between heavy element hydrides,28,1.42963141144376,GMTKN55,
HSG,Binding energies of small ligands interacting with protein receptors,21,6.6256842226484,"J. Chem. Phys. 135, 194102 (2011)",
HW30,Binding energies of hydrocarbon-water dimers ,30,2.33556407510599," J. Chem. Theory Comput. 2012, 8, 5, 1646–1656",
HW6Cl,Binding energies of Cl-(H2O)n (n = 1-6) ,6,57.7148239005996,"J. Phys. Chem. A 2015, 119, 2, 235–252",
HW6F,Binding energies of F-(H2O)n (n =1-6) ,6,81.4162631920317,"J. Phys. Chem. A 2015, 119, 2, 235–252",
IHB100,Binding energies of equilibrium ionic hydrogen bonds in the HCNO chemical space.,100,20.6886199002796,"J. Chem. Theory Comput. 2020, 16, 4, 2355–2368",
IHB100x2,Binding energies of ionic hydrogen bonds at 0.8 and 1.5 times the equilibrium disctance in IHB100 ,200,13.8655740607479,"J. Chem. Theory Comput. 2020, 16, 4, 2355–2368",
IL16,Interaction energies in anion-cation dimers ,16,109.342827134629,"J. Chem. Theory Comput. 2015, 11, 6, 2473–2486",
NBC10,"PECs for BzBz (5), BzMe (1), MeMe (1), BzH2S (1), and PyPy (2)",184,1.91483152600886,"J. Chem. Phys. 135, 194102 (2011)",
NC15,Binding energies of very small non-covalent complexes ,14,0.98869826533831," J. Chem. Theory Comput. 2014, 10, 8, 3140–3150",
O24,Interaction energies in 24 small high-spin open-shell dimers,24,7.12859649965927,"J. Chem. Phys. 154, 134106 (2021)",
O24x4,PECs for O24,96,4.1990670307897,"J. Chem. Phys. 154, 134106 (2021)",
PNICO23,Interaction energies in pnicogen-containing dimers,23,5.02131535502587,GMTKN55,
RG10N,Theoretical estimated PECs for the 10 rare-gas dimers involving helium through krypton ,275,22.0448060015187,,
RG18,Interaction energies in rare-gas complexes,18,0.705234933428599,GMTKN55,
S22,Binding energies of noncovalently bound dimers,22,9.64593258726085,"J. Chem. Phys. 135, 194102 (2011)","Phys. Chem. Chem. Phys. 8, 1985–1993 (2006)"
S66,Binding energies of noncovalently bound dimers,66,6.88595335217263,"Mol. Phys. 2023, 121, 11–12, e2109526","J. Chem. Theory Comput. 2011, 7, 11, 3466–3470"
Shields38,Binding energies of (H2O)n (n = 2 - 10) ,38,54.7035621832042,"J. Chem. Theory Comput. 2017, 13, 7, 3136–3152","J. Phys. Chem. A 2011, 115, 43, 12034–12046"
SW49Bind345,Binding energies of isomers of SO42-(H2O) (n = 3 -5) ,30,29.3029126465927,"J. Chem. Theory Comput. 2013, 9, 3, 1368–1380",
TA13,Binding energies of dimers involving radicals ,13,21.999769779298,"J. Chem. Theory Comput. 2013, 9, 3, 1568–1579",
WATER27,"Binding energies in (H2O)n, H+(H2O)n and OH-(H2O)n",27,100.859393351104,"J. Chem. Theory Comput. 2017, 13, 7, 3136–3152","J. Chem. Theory Comput., 2009, 5, 1016–1026."
X40,Binding energies of complexes containing halogenated molecules ,40,4.89873498688843,"J. Phys. Chem. A 2018, 122, 8, 2184","J. Chem. Theory Comput. 2012, 8, 11, 4285–4292"
X40x5,PECs for X40,200,4.01748917068721,"J. Phys. Chem. A 2018, 122, 8, 2184","J. Chem. Theory Comput. 2012, 8, 11, 4285–4292"
XB18,Binding energies of small halogen-bonded dimers ,8,5.22947859321618,"J. Chem. Theory Comput. 2013, 9, 4, 1918–1931",
XB51,Binding energies of large halogen-bonded dimers ,20,6.06197620825847,"J. Chem. Theory Comput. 2018, 14, 1, 180","J. Chem. Theory Comput. 2013, 9, 4, 1918–1931"
