Index,Molecule,TBE in common unit,fd step
V30_1,CO2_Ar,44.4977357446235,0.01
V30_2,CO2_Ar,668.316250648953,0.003
V30_3,CO2_Ar,669.633144557009,0.003
V30_4,CO2_Ar,1349.46098141171,0.001
V30_5,CO2_Ar,2388.37158147205,0.001
V30_6,HF_NH3,262.504177022033,0.003
V30_7,HF_NH3,272.105968473021,0.003
V30_8,HF_NH3,966.576848874642,0.003
V30_9,HF_NH3,1150.98784936921,0.001
V30_10,HF_NH3,1150.98784936921,0.001
V30_11,HF_NH3,1673.34306485012,0.001
V30_12,HF_NH3,3434.01257236445,0.001
V30_13,HF_NH3,3484.19770311743,0.001
V30_14,HF_NH3,3609.73416834786,0.001
V30_15,H2O_Ar,59.5641873535523,0.01
V30_16,H2O_Ar,82.3817097806085,0.01
V30_17,H2O_Ar,1649.82258900391,0.001
V30_18,H2O_Ar,3831.56538581584,0.001
V30_19,H2O_Ar,3940.41807195828,0.001
V30_20,CO2_CO2,28.7272113998,0.01
V30_21,CO2_CO2,46.6501365759598,0.01
V30_22,CO2_CO2,107.635000951347,0.003
V30_23,CO2_CO2,666.126544856012,0.003
V30_24,CO2_CO2,668.158762663787,0.003
V30_25,CO2_CO2,669.135082150357,0.003
V30_26,CO2_CO2,672.224948121436,0.003
V30_27,CO2_CO2,1349.01400971699,0.001
V30_28,CO2_CO2,2385.55210781594,0.001
V30_29,CO2_CO2,2390.97264994246,0.001
V30_30,CH4_CH4,43.9993932836644,0.01
V30_31,CH4_CH4,44.0578796745563,0.01
V30_32,CH4_CH4,63.7101123287381,0.01
V30_33,CH4_CH4,66.8643042840444,0.01
V30_34,CH4_CH4,66.8979937701087,0.01
V30_35,CH4_CH4,1339.1926184543,0.001
V30_36,CH4_CH4,1343.58918630099,0.001
V30_37,CH4_CH4,1346.44997348599,0.001
V30_38,CH4_CH4,1348.72326152164,0.001
V30_39,CH4_CH4,1565.16480819559,0.001
V30_40,CH4_CH4,1572.62625878103,0.001
V30_41,CH4_CH4,3031.63348417131,0.001
V30_42,CH4_CH4,3152.45041470435,0.001
V30_43,CH4_CH4,3153.98750006273,0.001
V30_44,HF_H2O,222.754449556262,0.003
V30_45,HF_H2O,244.458955863165,0.003
V30_46,HF_H2O,264.340354569449,0.003
V30_47,HF_H2O,707.537224751101,0.003
V30_48,HF_H2O,830.424512616478,0.003
V30_49,HF_H2O,1651.31321629689,0.001
V30_50,HF_H2O,3779.91405067785,0.001
V30_51,HF_H2O,3829.61434419961,0.001
V30_52,HF_H2O,3931.77032121981,0.001
V30_53,H2O_NH3,161.910360251612,0.003
V30_54,H2O_NH3,172.859774505744,0.003
V30_55,H2O_NH3,197.711744424192,0.003
V30_56,H2O_NH3,444.836633184622,0.003
V30_57,H2O_NH3,690.775624752933,0.003
V30_58,H2O_NH3,1110.02661569587,0.001
V30_59,H2O_NH3,1665.30210621484,0.001
V30_60,H2O_NH3,1674.39297761564,0.001
V30_61,H2O_NH3,1691.55356492701,0.001
V30_62,H2O_NH3,3477.16090976975,0.001
V30_63,H2O_NH3,3604.22594726166,0.001
V30_64,H2O_NH3,3608.08361039689,0.001
V30_65,H2O_NH3,3640.27170809176,0.001
V30_66,H2O_NH3,3905.53219901343,0.001
V30_67,CH3OH_H2O,61.4969035980673,0.01
V30_68,CH3OH_H2O,69.9533118816812,0.01
V30_69,CH3OH_H2O,80.0257791251948,0.01
V30_70,CH3OH_H2O,163.530518518487,0.003
V30_71,CH3OH_H2O,181.375322322888,0.003
V30_72,CH3OH_H2O,233.663434614483,0.003
V30_73,CH3OH_H2O,658.477026818045,0.003
V30_74,CH3OH_H2O,1080.32810704816,0.001
V30_75,CH3OH_H2O,1117.27575393547,0.001
V30_76,CH3OH_H2O,1181.05235041974,0.001
V30_77,CH3OH_H2O,1436.46359952981,0.001
V30_78,CH3OH_H2O,1482.82404820559,0.001
V30_79,CH3OH_H2O,1509.44994046412,0.001
V30_80,CH3OH_H2O,1522.7425857852,0.001
V30_81,CH3OH_H2O,1651.3490644372,0.001
V30_82,CH3OH_H2O,3002.66914522967,0.001
V30_83,CH3OH_H2O,3057.10616702564,0.001
V30_84,CH3OH_H2O,3119.24953162524,0.001
