Index,Molecule,TBE in common unit,fd step
V30_1,CO2_Ar,44.50 ,0.01
V30_2,CO2_Ar,668.32 ,0.003
V30_3,CO2_Ar,669.63 ,0.003
V30_4,CO2_Ar,1349.46 ,0.001
V30_5,CO2_Ar,2388.37 ,0.001
V30_6,HF_NH3,262.50 ,0.003
V30_7,HF_NH3,272.11 ,0.003
V30_8,HF_NH3,966.58 ,0.003
V30_9,HF_NH3,1150.99 ,0.001
V30_10,HF_NH3,1150.99 ,0.001
V30_11,HF_NH3,1673.34 ,0.001
V30_12,HF_NH3,3434.01 ,0.001
V30_13,HF_NH3,3484.20 ,0.001
V30_14,HF_NH3,3609.73 ,0.001
V30_15,H2O_Ar,59.56 ,0.01
V30_16,H2O_Ar,82.38 ,0.01
V30_17,H2O_Ar,1649.82 ,0.001
V30_18,H2O_Ar,3831.57 ,0.001
V30_19,H2O_Ar,3940.42 ,0.001
V30_20,CO2_CO2,28.73 ,0.01
V30_21,CO2_CO2,46.65 ,0.01
V30_22,CO2_CO2,107.64 ,0.003
V30_23,CO2_CO2,666.13 ,0.003
V30_24,CO2_CO2,668.16 ,0.003
V30_25,CO2_CO2,669.14 ,0.003
V30_26,CO2_CO2,672.22 ,0.003
V30_27,CO2_CO2,1349.01 ,0.001
V30_28,CO2_CO2,2385.55 ,0.001
V30_29,CO2_CO2,2390.97 ,0.001
V30_30,CH4_CH4,44.00 ,0.01
V30_31,CH4_CH4,44.06 ,0.01
V30_32,CH4_CH4,63.71 ,0.01
V30_33,CH4_CH4,66.86 ,0.01
V30_34,CH4_CH4,66.90 ,0.01
V30_35,CH4_CH4,1339.19 ,0.001
V30_36,CH4_CH4,1343.59 ,0.001
V30_37,CH4_CH4,1346.45 ,0.001
V30_38,CH4_CH4,1348.72 ,0.001
V30_39,CH4_CH4,1565.16 ,0.001
V30_40,CH4_CH4,1572.63 ,0.001
V30_41,CH4_CH4,3031.63 ,0.001
V30_42,CH4_CH4,3152.45 ,0.001
V30_43,CH4_CH4,3153.99 ,0.001
V30_44,HF_H2O,222.75 ,0.003
V30_45,HF_H2O,244.46 ,0.003
V30_46,HF_H2O,264.34 ,0.003
V30_47,HF_H2O,707.54 ,0.003
V30_48,HF_H2O,830.42 ,0.003
V30_49,HF_H2O,1651.31 ,0.001
V30_50,HF_H2O,3779.91 ,0.001
V30_51,HF_H2O,3829.61 ,0.001
V30_52,HF_H2O,3931.77 ,0.001
V30_53,H2O_NH3,161.91 ,0.003
V30_54,H2O_NH3,172.86 ,0.003
V30_55,H2O_NH3,197.71 ,0.003
V30_56,H2O_NH3,444.84 ,0.003
V30_57,H2O_NH3,690.78 ,0.003
V30_58,H2O_NH3,1110.03 ,0.001
V30_59,H2O_NH3,1665.30 ,0.001
V30_60,H2O_NH3,1674.39 ,0.001
V30_61,H2O_NH3,1691.55 ,0.001
V30_62,H2O_NH3,3477.16 ,0.001
V30_63,H2O_NH3,3604.23 ,0.001
V30_64,H2O_NH3,3608.08 ,0.001
V30_65,H2O_NH3,3640.27 ,0.001
V30_66,H2O_NH3,3905.53 ,0.001
V30_67,CH3OH_H2O,61.50 ,0.01
V30_68,CH3OH_H2O,69.95 ,0.01
V30_69,CH3OH_H2O,80.03 ,0.01
V30_70,CH3OH_H2O,163.53 ,0.003
V30_71,CH3OH_H2O,181.38 ,0.003
V30_72,CH3OH_H2O,233.66 ,0.003
V30_73,CH3OH_H2O,658.48 ,0.003
V30_74,CH3OH_H2O,1080.33 ,0.001
V30_75,CH3OH_H2O,1117.28 ,0.001
V30_76,CH3OH_H2O,1181.05 ,0.001
V30_77,CH3OH_H2O,1436.46 ,0.001
V30_78,CH3OH_H2O,1482.82 ,0.001
V30_79,CH3OH_H2O,1509.45 ,0.001
V30_80,CH3OH_H2O,1522.74 ,0.001
V30_81,CH3OH_H2O,1651.35 ,0.001
V30_82,CH3OH_H2O,3002.67 ,0.001
V30_83,CH3OH_H2O,3057.11 ,0.001
V30_84,CH3OH_H2O,3119.25 ,0.001
V30_85,CH3OH_H2O,3769.71 ,0.001
V30_86,CH3OH_H2O,3826.56 ,0.001
V30_87,CH3OH_H2O,3932.25 ,0.001
V30_88,CO2_N2,61.16 ,0.01
V30_89,CO2_N2,84.38 ,0.01
V30_90,CO2_N2,667.41 ,0.003
V30_91,CO2_N2,670.85 ,0.003
V30_92,CO2_N2,1349.97 ,0.001
V30_93,CO2_N2,2356.50 ,0.001
V30_94,CO2_N2,2389.59 ,0.001
V30_95,HF_CH4,103.92 ,0.003
V30_96,HF_CH4,113.01 ,0.003
V30_97,HF_CH4,230.25 ,0.003
V30_98,HF_CH4,1349.25 ,0.001
V30_99,HF_CH4,1352.70 ,0.001
V30_100,HF_CH4,1352.70 ,0.001
V30_101,HF_CH4,1577.97 ,0.001
V30_102,HF_CH4,3021.94 ,0.001
V30_103,HF_CH4,3141.15 ,0.001
V30_104,HF_CH4,3157.87 ,0.001
V30_105,HF_CH4,4096.31 ,0.001
V30_106,HF_CO,49.69 ,0.01
V30_107,HF_CO,105.15 ,0.003
V30_108,HF_CO,306.86 ,0.003
V30_109,HF_CO,2150.57 ,0.001
V30_110,HF_CO,4110.92 ,0.001
V30_111,N2_Ar,2354.31 ,0.001
V30_112,H2O_CO2,86.97 ,0.01
V30_113,H2O_CO2,114.59 ,0.003
V30_114,H2O_CO2,151.89 ,0.003
V30_115,H2O_CO2,174.24 ,0.003
V30_116,H2O_CO2,660.55 ,0.003
V30_117,H2O_CO2,674.05 ,0.003
V30_118,H2O_CO2,1350.42 ,0.001
V30_119,H2O_CO2,1646.64 ,0.001
V30_120,H2O_CO2,2390.20 ,0.001
V30_121,H2O_CO2,3831.09 ,0.001
V30_122,H2O_CO2,3941.54 ,0.001
V30_123,C2H2_C2H2,59.68 ,0.01
V30_124,C2H2_C2H2,73.62 ,0.01
V30_125,C2H2_C2H2,101.16 ,0.003
V30_126,C2H2_C2H2,613.14 ,0.003
V30_127,C2H2_C2H2,617.83 ,0.003
V30_128,C2H2_C2H2,623.29 ,0.003
V30_129,C2H2_C2H2,629.37 ,0.003
V30_130,C2H2_C2H2,747.61 ,0.003
V30_131,C2H2_C2H2,754.81 ,0.003
V30_132,C2H2_C2H2,765.63 ,0.003
V30_133,C2H2_C2H2,772.74 ,0.003
V30_134,C2H2_C2H2,1998.74 ,0.001
V30_135,C2H2_C2H2,2002.86 ,0.001
V30_136,C2H2_C2H2,3390.52 ,0.001
V30_137,C2H2_C2H2,3403.99 ,0.001
V30_138,C2H2_C2H2,3488.65 ,0.001
V30_139,C2H2_C2H2,3496.41 ,0.001
V30_140,H2O_H2O,149.06 ,0.003
V30_141,H2O_H2O,185.17 ,0.003
V30_142,H2O_H2O,352.22 ,0.003
V30_143,H2O_H2O,615.26 ,0.003
V30_144,H2O_H2O,1650.87 ,0.001
V30_145,H2O_H2O,1670.81 ,0.001
V30_146,H2O_H2O,3750.77 ,0.001
V30_147,H2O_H2O,3826.35 ,0.001
V30_148,H2O_H2O,3913.22 ,0.001
V30_149,H2O_H2O,3932.23 ,0.001
V30_150,CO_CO,80.43 ,0.01
V30_151,CO_CO,2160.80 ,0.001
V30_152,CO_CO,2161.56 ,0.001
V30_153,CO_Ar,2159.78 ,0.001
V30_154,C2H2_Ar,43.00 ,0.01
V30_155,C2H2_Ar,611.79 ,0.003
V30_156,C2H2_Ar,612.03 ,0.003
V30_157,C2H2_Ar,747.46 ,0.003
V30_158,C2H2_Ar,748.52 ,0.003
V30_159,C2H2_Ar,2004.04 ,0.001
V30_160,C2H2_Ar,3408.47 ,0.001
V30_161,C2H2_Ar,3500.55 ,0.001
V30_162,NH3_NH3,45.21 ,0.01
V30_163,NH3_NH3,52.72 ,0.01
V30_164,NH3_NH3,102.46 ,0.003
V30_165,NH3_NH3,140.40 ,0.003
V30_166,NH3_NH3,231.70 ,0.003
V30_167,NH3_NH3,389.44 ,0.003
V30_168,NH3_NH3,1078.49 ,0.001
V30_169,NH3_NH3,1093.20 ,0.001
V30_170,NH3_NH3,1666.08 ,0.001
V30_171,NH3_NH3,1676.17 ,0.001
V30_172,NH3_NH3,1680.40 ,0.001
V30_173,NH3_NH3,1696.25 ,0.001
V30_174,NH3_NH3,3452.12 ,0.001
V30_175,NH3_NH3,3472.55 ,0.001
V30_176,NH3_NH3,3578.68 ,0.001
V30_177,NH3_NH3,3600.36 ,0.001
V30_178,NH3_NH3,3602.67 ,0.001
V30_179,NH3_NH3,3605.71 ,0.001
V30_180,CH4_N2,53.09 ,0.01
V30_181,CH4_N2,67.88 ,0.01
V30_182,CH4_N2,78.37 ,0.01
V30_183,CH4_N2,1345.17 ,0.001
V30_184,CH4_N2,1345.74 ,0.001
V30_185,CH4_N2,1569.60 ,0.001
V30_186,CH4_N2,1570.29 ,0.001
V30_187,CH4_N2,2354.36 ,0.001
V30_188,CH4_N2,3031.32 ,0.001
V30_189,CH4_N2,3152.49 ,0.001
V30_190,CH4_N2,3152.77 ,0.001
V30_191,CH4_N2,3154.21 ,0.001
V30_192,HF_HCN,83.98 ,0.01
V30_193,HF_HCN,187.06 ,0.003
V30_194,HF_HCN,629.59 ,0.003
V30_195,HF_HCN,737.49 ,0.003
