Dataset,Metric,RMSE,MAE
BH28,1.174950885,1.567501999,1.174950885
BH46,1.313773195,1.736821831,1.313773195
BH876,1.612891238,2.179234058,1.612891238
BHDIV7,1.155611987,1.475977154,1.155611987
BHPERI11,1.102343033,1.515617479,1.102343033
BHROT27,0.3015009995,0.436940304,0.3015009995
CRBH14,0.8623415037,1.076828351,0.8623415037
DBH22,1.206541419,1.474903453,1.206541419
INV23,1.124860653,1.587890581,1.124860653
ORBH35,2.266070964,3.829481017,2.266070964
PX9,1.146826143,1.286655412,1.146826143
WCPT26,1.26210733,1.587852199,1.26210733
Dip146,0.03477625881,0.09098605986,0.05562684918
HR46,0.01262463809,0.1277695414,0.08124128577
OEEF,0.08761927795,0.4433933244,0.3000943844
Pol130,0.02377130339,0.7556385671,0.2014598895
T144,0.01393295223,0.2828315781,0.1498380655
V30,30.049781,48.21437529,30.049781
ACONF,0.04732497243,0.06068910977,0.04732497243
Amino20x4,0.1930327312,0.2709476215,0.1930327312
BUT14DIOL,0.08643202832,0.1190238712,0.08643202832
ICONF,0.2309765897,0.3179960764,0.2309765897
IDISP,1.542349022,2.056565649,1.542349022
MCONF,0.2276417241,0.2652466357,0.2276417241
PCONF21,0.2837468471,0.3385615511,0.2837468471
Pentane13,0.08066624804,0.09644924212,0.08066624804
SCONF,0.1533801504,0.2031307849,0.1533801504
UPU23,0.4662931217,0.6152771087,0.4662931217
AlkIsomer11,0.1318924441,0.1610826077,0.1318924441
C20C246,9.354917375,10.8571278,9.354917375
C60ISO7,1.974419121,2.242918934,1.974419121
DIE60,0.5383447583,0.6783250961,0.5383447583
EIE22,0.3118855125,0.3605171552,0.3118855125
ISO34,0.8677496629,1.209470873,0.8677496629
ISOL23,1.813936964,2.526926745,1.813936964
ISOMERIZATION20,1.307717896,1.672117986,1.307717896
PArel,0.6799066409,1.085399597,0.6799066409
Styrene42,1.816744005,2.238504331,1.816744005
TAUT15,0.6132967905,0.7983475605,0.6132967905
3B-69,0.05748440461,0.07221507486,0.05748440461
3BHET,0.1384851258,0.1728002216,0.1384851258
A19Rel6,0.07232670166,0.09312882952,0.07232670166
A24,0.100062029,0.1217662031,0.100062029
ADIM6,0.1136901986,0.1371520775,0.1136901986
AHB21,0.3077044999,0.4022546527,0.3077044999
Bauza30,0.5770324371,0.7434752167,0.5770324371
BzDC215,0.1414761736,0.2013498955,0.1414761736
CARBHB8,0.1472016876,0.1791329166,0.1472016876
CHB6,0.5400467032,0.7464658904,0.5400467032
CT20,0.08937685088,0.1183700776,0.08937685088
DS14,0.1132326134,0.1325109524,0.1132326134
FmH2O10,1.018304855,1.063076492,1.018304855
H2O16Rel4,0.2654134248,0.2938422873,0.2654134248
H2O20Rel9,0.1336276741,0.1664247902,0.1336276741
HB262,0.1809753739,0.2400159326,0.1809753739
HB49,0.2375355866,0.3220319663,0.2375355866
HCP32,0.5719098694,0.7658763602,0.5719098694
HEAVY28,0.1890334306,0.2101197224,0.1890334306
HSG,0.1249911228,0.1661574685,0.1249911228
HW30,0.133745056,0.17242105,0.133745056
HW6Cl5,0.3733280308,0.4332765306,0.3733280308
HW6F,0.4502032526,0.5571200782,0.4502032526
He3,0.1762081128,0.4433945785,0.1762081128
IHB100,0.302698535,0.4002468712,0.302698535
IHB100x2,0.3589082649,0.5114629216,0.3589082649
IL16,0.3680900736,0.4259916393,0.3680900736
NBC10,0.1518243461,0.2268814468,0.1518243461
NC11,0.05436912994,0.06594637407,0.05436912994
